,MC0,MC1,MC2,MC3,MC4,MC5,MC6,MC7,MC8
1-10A-rep2,2.4545745877616935e-06,2.170819397050477e-06,3.4889126898200142e-06,1.3441144821712544e-06,0.93072082478167,7.075230127847881e-07,3.741413254299784e-07,0.069266854522511,1.780610324000095e-06
1-10B-rep1,3.306358391540668e-06,2.924134783169171e-06,4.6996313767993265e-06,1.8105476278766604e-06,0.99998007389775,9.530468791589384e-07,5.039754412537971e-07,3.3298919681634525e-06,2.3985157819914834e-06
1-10B-rep2,1.14237807011418e-06,1.0103162013220177e-06,0.0006420777014312,6.255613155172098e-07,0.9993259758283892,3.292867032586291e-07,2.6859708876719695e-05,1.15050914323499e-06,8.287098691963237e-07
1-10C-rep1,4.579256101254189e-06,4.0498822151211184e-06,0.0030016670947747,2.507580936409663e-06,0.9969772444745744,1.3199554371769777e-06,6.979983235175963e-07,4.6118497470640134e-06,3.321907890185191e-06
1-10C-rep2,1.00571810110595e-06,8.894544792938807e-07,0.0009411594444305,5.507269045390782e-07,0.9990542090136856,2.898949188403159e-07,1.532977263077707e-07,1.0128764733059671e-06,7.295732803524356e-07
1-11A-rep2,0.0496338907680926,2.123218570517419e-06,3.4124092607633387e-06,0.0101519357632954,0.8607369556835136,6.920087418852952e-07,3.659373097689618e-07,0.0794688826453753,1.741565840027424e-06
1-11B-rep1,0.2121159715585773,4.264752558037989e-06,6.854254821427287e-06,0.0227569965273401,0.765105433197816,1.3899869250958733e-06,7.350312867404887e-07,4.856535810508723e-06,3.498154864686646e-06
1-11B-rep2,0.0606182053266655,2.0042967024702906e-06,3.2212795817626493e-06,1.241007993580115e-06,0.0829651227226348,6.532492032147722e-07,0.8564056256809852,2.2824158208394716e-06,1.6440204125810847e-06
1-11C-rep1,0.2037633886067454,3.7339414143827937e-06,6.001142057872308e-06,2.3119586721355567e-06,0.7962153889960357,1.216982620781593e-06,6.435458388446408e-07,4.252068542432444e-06,3.062758072226181e-06
1-11C-rep2,0.1479173889112295,2.824020229699626e-06,4.538728569080662e-06,1.748559319969812e-06,0.852066560360487,9.204171032362528e-07,4.867206701840254e-07,3.2158853740032468e-06,2.3163970171910848e-06
1-12A-rep1,3.0941461124050936e-06,0.0256615144968,4.39799454029688e-06,1.6943410969760043e-06,0.0818307684006682,8.918773910396776e-07,4.716287430584483e-07,0.8924949225430062,2.2445716415312955e-06
1-12A-rep2,2.1322931128867087e-06,0.0310831226259539,3.0308243787165467e-06,1.167634533313805e-06,0.1000757619661565,6.146264427619537e-07,3.2501720478909373e-07,0.8688322981930047,1.5468192123925754e-06
