,5_1,5_2,5_3,5_4,5_5
2-12A-rep2,0.18728232139476672,2.7497810388780025e-06,0.6671171316147053,0.1455949963225701,2.8008869190354316e-06
2-12B-rep2,0.16409605131097513,2.678784033109017e-06,0.7102796698981481,0.12561887143644082,2.7285704029428726e-06
2-12C-rep2,0.7115679320019612,2.899672871551524e-06,0.14244000136991014,0.14598621339070036,2.9535645568072077e-06
2-1A-rep1,0.06960649565857034,0.03562485455389602,0.20399921410006489,0.6907641801550878,5.255532380968492e-06
2-1A-rep2,0.03791821116810182,0.015432245572269097,0.1528837298797561,0.7937624311938469,3.382186026090546e-06
2-1B-rep1,0.0420646325678075,3.762304131050442e-06,0.7018805866695754,0.2560471862302914,3.832228194573594e-06
2-1B-rep2,0.022181995762740974,1.965311382167624e-06,0.7087002246207936,0.2691138124675317,2.0018375515422125e-06
2-1C-rep1,0.047571518683611064,0.01825470848240111,0.8854111592792945,0.04875958251244503,3.031042248371043e-06
2-1C-rep2,0.01590343713618387,0.04294825742507713,0.8288985504244241,0.11224818295645318,1.5720578617044041e-06
2-2A-rep1,0.6787781934355582,4.041701161913941e-06,0.05194685930991357,0.2692667887354251,4.116817941138369e-06
2-2A-rep2,0.6036614374257179,2.8210469967052722e-06,0.05640744205973754,0.33992542599016207,2.8734773857776043e-06
2-2B-rep1,0.8253964321644199,4.806063961980644e-06,7.415731437253024e-06,0.17458645065342351,4.895386757285881e-06
2-2B-rep2,0.8257423223655619,2.6546156875779215e-06,4.096058055807441e-06,0.17424822300781664,2.703952878167011e-06
2-2C-rep1,0.17291527386295943,3.7339553619251365e-06,5.761473501346474e-06,0.8270714273556261,3.803352551207378e-06
2-2C-rep2,5.290850006612547e-06,2.4611878899572216e-06,3.7975999805505115e-06,0.9999859434319823,2.506930140547615e-06
2-3A-rep1,1.0130002169657931e-05,0.4365481068180299,0.07245170361751055,0.472217271998769,0.018772787563520854
2-3A-rep2,3.029196655369245e-06,0.4728132752721932,0.10700873730432153,0.40401029381827425,0.016164664408555688
2-3B-rep1,1.1105439357710227e-05,0.5632167819964996,7.971123021090338e-06,0.436758879420725,5.262020396547277e-06
2-3B-rep2,5.813615749942482e-06,0.5262001042790412,4.1728242213097555e-06,0.47378715465204685,2.7546289406953554e-06
2-3C-rep1,8.055688282512026e-06,0.35093740727241707,5.782110932412405e-06,0.6490449379523182,3.816976049792702e-06
2-3C-rep2,0.00016400020235315808,0.3502566362986526,3.0933199797713385e-06,0.6495742281690262,2.0420099882459863e-06
2-4A-rep1,0.03971242446998171,9.406496513886573e-05,5.267916407172139e-06,0.9601847651104254,3.4775380468352316e-06
2-4A-rep2,0.050145489033519855,1.3317823375262953e-06,0.01354551458728424,0.9362355850358506,7.207956100778725e-05
2-4B-rep2,0.28293901175989594,2.2232099316169613e-06,0.2769755603540638,0.44008094014685056,2.26452925803736e-06
2-4C-rep2,0.8168357668563391,3.2782751859129593e-06,9.210319509093883e-05,0.1830655124700238,3.339203360340514e-06
2-5A-rep1,5.752482113559181e-06,2.6759290657252944e-06,0.8807563720322447,0.1192324738942014,2.7256623747448877e-06
2-5A-rep2,3.861909084855399e-06,1.7964757760818402e-06,0.9144606931028575,0.08553181864821942,1.829864062065376e-06
2-5B-rep1,3.922531099444611e-06,1.8246758135021613e-06,0.5958265477346493,0.40416584647022835,1.8585882094829883e-06
2-5B-rep2,5.190116052596348e-06,2.414328654215835e-06,0.07013493081930104,0.9298550055359867,2.4592000054683504e-06
2-5C-rep1,4.375791327532155e-06,2.0355225740366835e-06,0.7811478926020797,0.2188436227303697,2.0733536490407163e-06
2-5C-rep2,1.0627305321746328e-05,4.943590373582747e-06,0.8004452468871182,0.19953414674802922,5.035469157241401e-06
2-6A-rep2,0.15833288072715257,0.004141443370497966,0.3298802084164435,0.5076420165385294,3.4509473766168176e-06
2-6B-rep2,0.2138879378967608,2.360163607943304e-06,0.08147089149621914,0.7046364064151339,2.404028278182172e-06
2-6C-rep2,0.045404978584013794,5.787509994374405e-05,0.40063165070126533,0.5153073850412877,0.03859811057348945
2-7A-rep1,0.16312118928707686,0.0010344915124190284,0.6078131820729702,0.2280267460540036,4.3910735302686286e-06
2-7A-rep2,0.15648112852971802,0.017117026956754655,0.622338672274743,0.20406063731274854,2.5349260357801154e-06
2-7B-rep1,0.06178116592983255,0.015995854691024044,0.7458774996926408,1.2280675216529142e-05,0.17633319901128608
2-7B-rep2,0.07741766005585024,2.2272857582355963e-06,0.7604119229719467,6.948429431462635e-06,0.1621612412570134
2-7C-rep2,4.24523803486583e-06,0.09281143063368538,0.2880794032485529,0.6191029093853223,2.0114944045102723e-06
2-8A-rep2,4.9306155062209485e-06,2.293614666599821e-06,3.539035377514896e-06,0.9999869004919539,2.3362424957328633e-06
2-8B-rep2,3.7707182890503344e-06,0.023102323053302773,0.043735436919554165,0.9331566826531524,1.7866557015451342e-06
2-8C-rep1,0.03944458255989826,4.420240085428902e-06,6.820407223255577e-06,0.9605396744006174,4.502392175678665e-06
2-8C-rep2,0.05281204991473474,2.0760280686312855e-06,3.203300400276842e-06,0.9471805561448404,2.1146119559222604e-06
2-9A-rep1,0.1387936015653429,2.9531038567407855e-06,0.8611912245891299,9.212753090379614e-06,3.007988580164661e-06
2-9A-rep2,0.1388899467177568,1.145841991149455e-06,0.838803064783336,0.022304675518951666,1.1671379644109942e-06
2-9B-rep1,0.005897666759129896,4.184502659126452e-06,0.6469825479097859,0.34711133855495857,4.262273466471541e-06
2-9B-rep2,0.02007229401098042,1.552023385501825e-06,0.5599139491251622,0.42001062397205474,1.5808684171678183e-06
2-9C-rep1,6.711441127790367e-06,0.009536142773343312,0.9904442260403543,9.739705289044618e-06,3.180039885602575e-06
2-9C-rep2,1.934892406482241e-06,0.01727963852623686,0.9827147018497594,2.8079337129418957e-06,9.167978843597282e-07
3-10A-rep2,0.5704228461698145,0.03450398050302682,0.39490218678572814,0.0001679439599855818,3.0425814449194377e-06
3-10B-rep1,0.6714139175333221,4.850631424950703e-06,0.18302385882830893,0.1356352887878435,0.009922084219100458
3-10B-rep2,0.6732329715742792,3.231580647501161e-06,0.1693840549534027,0.15737645025068703,3.291640983562555e-06
3-10C-rep1,0.26415019607618645,0.018112300793414353,0.06137906072207488,0.1501916656712627,0.5061667767370617
3-10C-rep2,0.25505019019224134,0.019389965214763324,0.06117935519707977,0.17636517071789706,0.4880153186780185
3-11A-rep2,0.9300084760048913,3.909541719280842e-06,6.032402328032093e-06,0.03624057302965718,0.03374100902140425
3-11B-rep2,0.9829692584846863,0.002059338098976163,0.000939893424662188,0.014027925215810666,3.584775864708328e-06
3-12A-rep2,0.9467827579054423,4.201588174661789e-07,0.04261682048866157,0.010599573479426146,4.279676523766397e-07
3-12B-rep2,0.6471448457291062,3.7421175542230196e-06,0.03408652377256027,0.3187610767143378,3.811666441409749e-06
3-12C-rep2,0.656605490655389,9.745779817324375e-07,1.5037687043618557e-06,0.34339103830698625,9.926909386676593e-07
3-1A-rep1,9.740027314997652e-06,4.53084801980104e-06,0.030203087926506587,0.7670671767586076,0.20271546443955102
3-1A-rep2,0.00013352912832579431,2.41665245792064e-06,0.12115104070338324,0.22279539228901477,0.6559176212268183
3-1B-rep1,7.216967925706645e-06,3.3571758864377943e-06,0.014178409388333677,0.8633295023335965,0.12248151413425765
3-1B-rep2,0.03951636644535943,2.1755642128216954e-06,0.4074243317101528,0.13413857546895439,0.41891855081132057
3-1C-rep1,8.03569964141932e-06,3.738032002433807e-06,0.008243709215846459,0.8856399937366382,0.10610452331587154
3-1C-rep2,6.814821543861864e-06,3.1701061710329953e-06,0.1535359467486829,0.3316504367980151,0.5148036315255872
3-2A-rep1,0.33260078433616647,5.144133966239912e-06,7.937371677251939e-06,0.66738089441825,5.239739940052171e-06
3-2A-rep2,0.9203344709872293,2.0532784188955495e-06,0.07758326837836094,0.002078115916496735,2.0914394940219995e-06
3-2B-rep2,0.791905910240688,2.93721250743599e-06,4.532103463789394e-06,0.20808362864145755,2.991801883200678e-06
