,7_1,7_2,7_3,7_4,7_5,7_6,7_7
1-8C-rep1,0.9702808054077016,0.00027570248126325506,8.997292896617216e-07,5.866528738781607e-06,6.5298611916632135e-06,0.0005367663975222726,0.028893429594292794
1-8C-rep2,0.059366215713024584,4.430818633787972e-06,0.9405708344342671,2.190636694143249e-06,2.438333496869607e-06,5.265541335339211e-05,1.234650530129815e-06
1-9A-rep1,0.7382897160030878,0.2613786339233592,4.3543093851589965e-07,2.8391518914745967e-06,3.1601767550920605e-06,4.400586175335548e-06,0.00032081472779261485
1-9A-rep2,0.779545570034575,0.21970720082239634,1.8075554460802497e-07,0.0001601929279891827,1.3118486076602676e-06,1.8267658091279098e-06,0.0005837168450780645
1-9B-rep2,0.31783861137059566,0.6754016151560145,2.932922547154059e-07,1.912361263460584e-06,2.1285932712067075e-06,2.9640931024162382e-06,0.006752475133498084
1-9C-rep1,0.24364066284633415,0.7490355139950876,7.116059887281195e-07,4.639903392644016e-06,5.1645404711654215e-06,7.1916880480659745e-06,0.007306115420677578
1-9C-rep2,0.37427588700665554,0.6169163761777882,2.231537914202103e-07,1.4550355818992477e-06,1.6195574592388782e-06,2.2552542840536625e-06,0.008802183814439611
2-10A-rep1,0.026019931243521633,0.9165561426810347,3.3728294841921324e-07,2.1991949497901185e-06,2.4478594403883686e-06,0.05741770226411202,1.239473993052555e-06
2-10A-rep2,0.20577542896082446,0.7682153997567008,3.6114312279079426e-07,2.354771077267138e-06,2.6210266679595446e-06,0.02600250718436205,1.3271572445833017e-06
2-10C-rep1,0.8588600130771661,1.1094443152102212e-05,8.412451044098132e-07,5.485192755295345e-06,0.01863096114404172,0.11989830169891073,0.0025933031988697114
2-10C-rep2,2.031913854935304e-06,1.1378937184636597e-06,0.99999445234894,5.625849170834927e-07,6.261967818880097e-07,8.719869535701679e-07,3.1707483398648467e-07
2-11B-rep1,0.8244335223845849,0.03344181132821228,1.1028766662696278e-07,7.191115963819541e-07,0.11765652400768263,0.024466907586437412,4.0529381986030916e-07
2-11B-rep2,0.8385558810068646,0.01804684474802954,4.0344093680316974e-07,2.6305666352671847e-06,0.10884359810576523,0.03454915953517946,1.4825965891366798e-06
2-11C-rep2,0.5673427717820421,0.06306025793522924,5.137953812360459e-07,3.350113644747284e-06,0.32800236733915966,0.04158885089873368,1.8881358093474385e-06
2-12A-rep2,0.0895240032319118,0.7850277699364766,4.979648759207826e-07,3.246893581280923e-06,0.1254376194409951,5.032571539928969e-06,1.829960619267087e-06
2-12B-rep2,0.0554901419145092,0.7863105317429823,4.851079498127373e-07,3.163062225147571e-06,0.1581889928234921,4.902635868657624e-06,1.7827129726955391e-06
2-12C-rep2,0.2251355369525668,0.10941185873420539,5.251089353294324e-07,3.42388171141939e-06,0.6654414187138763,5.3068969541572675e-06,1.929711750655674e-06
2-1A-rep1,0.4784145165988169,0.4299079995789661,9.343653364216949e-07,6.092367072655969e-06,0.08398576467518588,9.442955974107748e-06,0.007675249458647905
2-1A-rep2,0.6061444782553991,0.33688414009133905,6.013120186182763e-07,3.920750695495535e-06,0.05695857281518465,6.0770265089881194e-06,2.2097488541310163e-06
2-1B-rep1,0.15245681531096214,0.6732058078657672,6.813232050296932e-07,0.006797347024538845,0.037365919921924236,6.885641813160908e-06,0.1301665429117893
2-1B-rep2,0.16245307464638636,0.6827107396406639,3.5590409680602494e-07,2.320610917254532e-06,0.02332824245003108,3.5968657934321055e-06,0.1315016698821111
2-1C-rep1,1.2690577408079405e-05,0.9182744149750383,5.388834321755806e-07,0.008220670815521539,0.02971209442432706,5.446105850520863e-06,0.043774144218422247
2-1C-rep2,6.58202885445822e-06,0.9259354800460673,2.7949447733646866e-07,1.822395249844111e-06,0.017377336295961637,2.824648926513033e-06,0.05667567509046289
2-2A-rep1,0.31927650015571435,0.11569418581434913,7.319191617878783e-07,4.772351913438225e-06,5.31196503760621e-06,0.5650158080795339,2.6897142897521656e-06
2-2A-rep2,0.371984640822944,0.13655648932083264,5.10870501357053e-07,3.3310424729350963e-06,3.7076857440432767e-06,0.4899513655044134,0.0014999547530915637
2-2B-rep1,0.2821637259507965,0.0015427846497543616,8.703370476533727e-07,5.674881724040058e-06,0.07350903039264475,0.6427747154047737,3.198383258959457e-06
2-2B-rep2,0.28681418802259057,6.3399427674134875e-06,4.807312762078014e-07,3.1345248842177483e-06,0.09755452551940344,0.6156195646298509,1.7666292271791335e-06
2-2C-rep1,0.8613699195156446,8.917670043191276e-06,6.761895269304447e-07,4.4089764979108935e-06,4.907502513086265e-06,0.13860868523114428,2.4849146300840782e-06
2-2C-rep2,0.013145651758579055,5.877988091222252e-06,0.9868361870888568,2.9061303259348624e-06,3.23472848735738e-06,4.50440040718997e-06,1.6379052524476618e-06
2-3A-rep1,0.3360874551709053,0.5232553699778334,8.533494332847583e-07,0.14063836810379857,6.19325547290895e-06,8.624186723255104e-06,3.1359558332251053e-06
2-3A-rep2,0.25693292150404295,0.6063838027381367,2.5518146682062845e-07,0.13660282243078994,1.8520010142719792e-06,7.740838355925715e-05,9.377609900398836e-07
2-3B-rep1,0.2806633230112316,0.6686957675272622,9.355188034084697e-07,0.0039839090088623665,0.0466431724022897,9.454613232301223e-06,3.4379183183468353e-06
