,17_1,17_2,17_3,17_4,17_5,17_6,17_7,17_8,17_9,17_10,17_11,17_12,17_13,17_14,17_15,17_16,17_17
1-3B-rep2,0.03561801243438156,1.4066414234925236e-06,1.321101979381e-06,9.678486852687851e-07,0.7777175793752822,0.081082459929292,1.4518826238435573e-06,0.08204727335756716,3.702964971299413e-07,0.019660314140741278,2.5502393754864662e-06,0.003859663598070161,4.450732089782625e-07,9.23772019961186e-07,2.7798939455483092e-06,1.721070195020347e-06,7.593447115583483e-07
1-3C-rep1,0.1681275178311821,0.00044361951658396074,1.9657959086468196e-06,1.4401560329067386e-06,7.049023886828139e-07,3.3656529492660142e-06,2.16039712780111e-06,4.04430801389087e-06,5.510001123345197e-07,0.021748540895088837,3.794748784458157e-06,0.8096524306338065,6.62267642402385e-07,1.3745700829340716e-06,4.136474117759939e-06,2.5609474519523524e-06,1.1299027255514445e-06
1-3C-rep2,1.3466530830793638e-05,1.7264292856781891e-06,1.6214431826611882e-06,1.1878807821573044e-06,5.814231108854561e-07,2.7760842342720324e-06,1.7819556848733242e-06,3.3358578216898307e-06,0.058360827660956315,2.7745659472763342e-06,3.13001442286396e-06,2.7421631512908957e-06,0.9415964580119747,1.1337836650589473e-06,3.4118789895707907e-06,2.11234074140487e-06,9.319752184634548e-07
1-3C-rep3,0.20118997322361412,0.00010796889465807573,9.523841766686094e-07,6.977234064030383e-07,3.4150945076467356e-07,1.6305836221042213e-06,1.046664117463961e-06,1.959376831064373e-06,2.6694723802291894e-07,0.022034327758163226,1.8384709627553204e-06,0.7766542174977522,3.208538691983695e-07,6.659484796718376e-07,2.0040292482171377e-06,1.2407217960882495e-06,5.474126140239443e-07
1-4A-rep1,0.0003330455648230646,1.5225205355767082e-06,1.4299343525690648e-06,1.0475800541931614e-06,5.127511642240581e-07,0.28889447408471736,0.0021694660687142228,0.615203248230588,0.0012047866793028453,0.03974718082848457,2.7603280800404364e-06,0.05243335016542854,4.817383372813989e-07,9.99872353460205e-07,3.008901592215307e-06,1.8628519474290993e-06,8.218995243710752e-07
1-4A-rep3,0.0003456507034763619,1.0661019845097491e-06,1.0012711259852414e-06,7.335383323976792e-07,3.5903951438782505e-07,0.25457709757773833,1.1003905620180714e-06,0.6447614450290422,2.8064993953260845e-07,0.07573339207754112,1.93284174187799e-06,0.024570916503302172,3.3732365862348707e-07,7.001323629940963e-07,2.106898320054657e-06,1.304409439213081e-06,5.755119182466197e-07
1-4B-rep3,0.3995085469639977,4.6492530458719287e-07,4.366526748724882e-07,3.198948483087209e-07,1.5657653583897898e-07,0.1276932494784219,4.798784962832473e-07,0.3518417973461476,1.2239097245426997e-07,0.10783324013623928,8.429090730702484e-07,7.384611978711193e-07,1.4710628721145283e-07,3.053265605410799e-07,0.013118332122661065,5.688507897407495e-07,2.509797915885246e-07
1-4C-rep1,1.4754817393469465e-05,1.8915895395026824e-06,1.776559856035457e-06,1.3015203578537215e-06,6.370454230009193e-07,0.9999551445595345,1.9524279165825217e-06,3.654985358000294e-06,4.979584482492704e-07,3.0399970424891e-06,3.429449783954619e-06,3.0044944068206966e-06,5.985148825816925e-07,1.2422479962983472e-06,3.738279152386962e-06,2.314419526738495e-06,1.0211333814513444e-06
1-4C-rep2,3.2787524043046714e-06,4.203409357913868e-07,3.9477953159525625e-07,2.8921828639188146e-07,1.415615088018658e-07,6.759048022121741e-07,0.9999897903712759,8.121952112769558e-07,1.1065419624669499e-07,6.755351385474843e-07,7.620776607889513e-07,6.676458947193329e-07,1.329994169324935e-07,2.7604703575718946e-07,8.307044019586256e-07,5.143004068096551e-07,2.2691189191071997e-07
1-4C-rep3,9.469881861278267e-05,8.360213556817437e-07,7.851819584934959e-07,5.752298748206909e-07,2.815534591654064e-07,0.9998919976801879,8.629099493335867e-07,1.6153852356339888e-06,2.2008151783710058e-07,1.3435803041067857e-06,1.5157058113030116e-06,1.3278892881744512e-06,2.6452420733051777e-07,5.490334093469971e-07,1.6521983969720062e-06,1.0228985252630027e-06,4.513079058986969e-07
1-5A-rep1,0.07536760441801485,1.9708196135710198e-06,1.8509718603530166e-06,1.3560351202800936e-06,6.637283555268245e-07,0.8789739587776102,0.027128837578091227,3.8080760547849604e-06,5.188156606168736e-07,0.018503439360060603,3.5730938223266036e-06,3.130338999116811e-06,6.23583946185426e-07,1.294280109345366e-06,3.894858647011156e-06,2.411360023976023e-06,1.0639040099394425e-06
1-5A-rep2,4.269965177579602e-06,5.474158878797921e-07,5.141269131880111e-07,3.766530250930844e-07,1.843575355906706e-07,8.80240290488439e-07,0.019948901346424637,1.0577331990656917e-06,0.9800379466176039,8.79758872320489e-07,9.924644111302546e-07,8.69484599588149e-07,1.7320700343049352e-07,3.594999209180117e-07,1.081837977325907e-06,6.697806229616681e-07,2.955105349112074e-07
1-5A-rep3,0.08073486116651146,9.031133622796811e-07,8.481940248501849e-07,6.213929617974934e-07,3.041485596513186e-07,0.8720047534586726,0.019575641691608612,1.7450223987887352e-06,2.3774339997259937e-07,0.027672756119972844,1.6373435465131941e-06,1.4344544569683522e-06,2.857526840230311e-07,5.93094189459915e-07,1.784789873251167e-06,1.104987713702456e-06,4.875260632393849e-07
