,13_1,13_2,13_3,13_4,13_5,13_6,13_7,13_8,13_9,13_10,13_11,13_12,13_13
1-12B-rep1,0.0003635464902298427,2.5915876216782373e-06,9.04961737268395e-07,0.0057455524576399365,0.9562939930630058,1.8756344787303408e-06,0.00119862273675912,0.036380419095823166,1.330697049191787e-06,3.560583322293633e-06,1.1209839643643902e-06,1.8007129387581844e-06,4.680995429901452e-06
1-12B-rep2,1.938787323007455e-06,1.0759765291428536e-06,3.7572242625645176e-07,0.059153911524030725,0.8707508232223639,7.78726777162969e-07,9.827002006354003e-07,0.06770094832590473,5.52479406967851e-07,1.4782846054668687e-06,4.654106328924829e-07,7.476208180732759e-07,0.0023859212189810703
1-12C-rep1,5.168723553794202e-06,2.86850711447994e-06,1.001659816543457e-06,0.04052073704936291,0.9594359349757591,2.0760520699345475e-06,2.6198364374816736e-06,1.576420191653993e-05,1.4728863191406394e-06,3.941043129803152e-06,1.2407647150725633e-06,1.993124921865075e-06,5.181174883381006e-06
1-12C-rep2,1.91041725461956e-06,1.060231879199403e-06,3.7022452001306525e-07,0.061273624666210155,0.8841918212293977,7.673317511787222e-07,9.683204532716834e-07,0.05452436622978051,5.443950346529609e-07,1.4566530242943599e-06,4.5860032867451866e-07,7.366809622751414e-07,1.91501940341665e-06
1-1A-rep1,1.87220967186318e-06,1.0390276646920696e-06,3.62820177347799e-07,0.999981460993348,2.844792638836659e-06,7.519854223524588e-07,9.489544306064195e-07,5.710092828564005e-06,5.335073511961824e-07,1.4275205450736664e-06,4.4942850510164993e-07,7.219476369960089e-07,1.876719779520777e-06
1-1A-rep2,9.89328609498676e-07,5.490516421258949e-07,1.9172445637263684e-07,0.9999902034638811,1.5032689917104636e-06,3.973703925580408e-07,5.014543944616828e-07,3.0173747540624956e-06,2.8192039270418494e-07,7.543422818038574e-07,2.3749074940885008e-07,3.8149757613917124e-07,9.917118781061602e-07
1-1B-rep1,3.2156695581743608e-06,1.7846129531668482e-06,6.231726162527818e-07,0.12439061830091624,0.00016963872960770515,1.2915949891676488e-06,1.6299049836437074e-06,0.8754225944443715,9.163414622233483e-07,2.451880486170956e-06,7.719293325693285e-07,1.2400026950900385e-06,3.2234160280898757e-06
1-1B-rep2,1.0463429175895334e-06,5.806930999604354e-07,8.061574006875189e-05,0.1366224201091691,1.5899013205584526e-06,4.202705672522402e-07,5.303528565751359e-07,0.8632899970845234,2.98167265555539e-07,7.978144940170665e-07,2.5117717333869694e-07,4.0348301164874966e-07,1.048863532281368e-06
1-1C-rep1,2.7771197501018882e-06,1.5412292180111438e-06,5.381849561995409e-07,2.0960674512022824e-06,4.219789023093512e-06,1.1154485523651e-06,1.4076201671157535e-06,0.9999788743171766,7.913717272686635e-07,2.1174954701815085e-06,6.666543798667925e-07,1.0708923639122855e-06,2.7838097641741552e-06
1-1C-rep2,9.199436242966853e-07,5.105447803023615e-07,1.782781672018263e-07,6.943394816729087e-07,1.397839616937509e-06,4.7502166887813485e-05,4.662856897409854e-07,0.9999458692793964,2.6214835529607694e-07,7.014376881656336e-07,2.208347142198012e-07,3.5474185168031326e-07,9.221597461589172e-07
