,11_1,11_2,11_3,11_4,11_5,11_6,11_7,11_8,11_9,11_10,11_11
2-11C-rep2,5.508105269739004e-07,0.0858063066029429,1.4482360951871072e-06,0.33170230368509546,1.1411186069317042e-06,0.18961418779912112,0.08076043304574698,0.31210868878442716,6.12336213910783e-07,1.9925528209212463e-06,2.335028402424856e-06
2-12A-rep2,5.338395779645809e-07,2.4080622621632097e-06,0.2231976489652112,0.0468128950805917,1.105959755124318e-06,1.991101295984834e-06,3.77470532515706e-06,0.7299748545716747,5.934696052424049e-07,1.9311605441468546e-06,2.2630841566048363e-06
2-12B-rep2,5.200564262025043e-07,2.3458887385393633e-06,0.10413049290885938,1.2181881822126408e-05,1.0774050885599763e-06,1.9396932466962006e-06,3.6772465781826825e-06,0.8958431008184609,5.781468716481219e-07,1.881300099257404e-06,2.2046538084845905e-06
2-12C-rep2,5.629391185314587e-07,2.539325488753793e-06,0.6648990409165161,0.21258638754720338,1.1662455077885944e-06,2.0996360231329923e-06,3.98046412475042e-06,0.1224991742338964,6.258195724718976e-07,2.036427907068537e-06,2.3864446415514025e-06
2-1A-rep1,1.0016780926171925e-06,0.09343599823099216,2.6336939808616456e-06,0.4116973591778326,2.075184575576383e-06,3.736033502750213e-06,0.0398730074029714,0.4470294194223844,1.1135658102984113e-06,0.0079494092371361,4.24637272130191e-06
2-1A-rep2,6.446319100894989e-07,0.07961521820111168,1.6949189504964909e-06,0.534202241207985,1.335489122305588e-06,2.404331721724723e-06,0.0194888555470139,0.3666818243222335,7.166374712533117e-07,2.331950948652703e-06,2.7327615313345134e-06
2-1B-rep1,7.304070999667942e-07,0.04116021596184308,1.920446096345163e-06,0.1412692611084734,1.5131902743148335e-06,2.7242538458564774e-06,0.009095649632749865,0.6741020677882403,8.119937733659442e-07,0.1343620088328391,3.0963847643312203e-06
2-1B-rep2,3.8154453767510115e-07,0.025988668072920034,1.003188109744935e-06,0.14658992950777253,7.904488930271353e-07,1.4230751236867498e-06,0.011848153604083849,0.6794217614401232,4.2416316718177397e-07,0.13614584748921027,1.6174660588933098e-06
2-1C-rep1,5.777059399473981e-07,0.06581876163305359,1.5189517150885197e-06,1.3532272910784719e-05,8.020782928343756e-05,2.1547129385070043e-06,4.084878262883295e-06,0.8719713417793235,6.422358518901765e-07,0.062025717964467646,8.146003625269628e-05
2-1C-rep2,2.9963020351491465e-07,0.03282590171166121,7.878122415752592e-07,7.018584033681534e-06,4.160020963930918e-05,1.1175531211257041e-06,2.118643449213656e-06,0.8904458927418273,3.3309897942879e-07,0.07667365980485095,1.2702099926728846e-06
2-2A-rep1,7.846479654821473e-07,3.5394175193321145e-06,2.0630606169954666e-06,0.21486058590940252,1.6255615124531024e-06,2.926560048095615e-06,0.7609676281195327,0.024153809646264332,8.72293358436309e-07,2.8384579460400394e-06,3.32632583362465e-06
2-2A-rep2,5.47674936273141e-07,2.4704712809050914e-06,1.4399917436175738e-06,0.27251266054690954,1.1346225784116682e-06,2.042704063924262e-06,0.686571617885062,0.03925529187254105,6.088503768687327e-07,0.0016498636446855028,2.3217358217894114e-06
2-2B-rep1,9.330373214006214e-07,4.208777422276011e-06,2.4532180501936954e-06,0.1650196800924417,1.9329809367685086e-06,3.480018898048534e-06,0.8349491848396084,9.759135457502226e-06,1.037257846110459e-06,3.375255293313783e-06,3.955386724292025e-06
2-2B-rep2,5.153644524525438e-07,2.324724019045505e-06,1.355038376478741e-06,0.16910497677697583,1.0676846887362295e-06,1.9221932422006687e-06,0.8308778257252627,5.390471941589465e-06,5.729308031433968e-07,1.86432692050838e-06,2.1847633172302202e-06
2-2C-rep1,7.249035931572652e-07,3.2699205125333378e-06,1.9059758260410415e-06,0.7432901233532144,1.5017886149125858e-06,2.703727005971927e-06,0.25668568691491483,7.5821536791605596e-06,8.05875523336313e-07,2.6223331412652866e-06,3.0730539743701237e-06
2-2C-rep2,0.8360094712378378,2.1553351689966033e-06,1.256304767463893e-06,0.1639716836084581,9.898888384941412e-07,1.7821344222286417e-06,3.378548498410195e-06,4.9977002250647615e-06,5.311847338865824e-07,1.7284844761610352e-06,2.0255725733385655e-06
2-3A-rep1,9.148259452547861e-07,4.126628909035288e-06,2.4053352102953258e-06,0.34547171538462296,0.29352828851646434,3.4120945699500173e-06,0.1866822481252778,0.1742986845169784,1.0170122542541977e-06,3.309375780967496e-06,3.878183986752874e-06
2-3A-rep2,3.7688259708846994e-05,1.2340093904332151e-06,7.192811134883421e-07,0.26108614337657343,0.3071003758073897,1.0203381096723905e-06,0.19598010196778673,0.23567801941767982,3.041229777621859e-07,0.00011323370378256973,1.1597154876229375e-06
2-3B-rep1,1.0029146530300215e-06,4.523982536739417e-06,2.6369452466527644e-06,0.32853468563324034,0.3824192830316207,3.74064559436383e-06,0.020719070665733544,0.2683060615900589,1.1149404948485115e-06,3.628035999996261e-06,4.251614820978422e-06
2-3B-rep2,5.250230487410474e-07,2.3682923534063534e-06,1.3804335479376079e-06,0.38252137359270905,0.3389958961853764,1.958217629266083e-06,0.02104278859614606,0.2573571952945711,5.836682672864438e-07,1.8992668178747735e-06,7.403142953288837e-05
2-3C-rep1,7.275001420995166e-07,3.2816331164274432e-06,1.9128028849241528e-06,0.5739207236662115,0.2451642453620513,2.713411548252807e-06,5.144052209290787e-06,0.18089472702217416,8.087621075075839e-07,2.6317261369801057e-06,3.084061417459044e-06
2-3C-rep2,3.8920123496741993e-07,1.7556225596569439e-06,0.007825804866695407,0.5528006566096136,0.23351996717229312,1.4516328787333622e-06,0.0014399567616743569,0.20440652760069272,4.3267511966169013e-07,1.4079324571026432e-06,1.6499247806693027e-06
2-4A-rep1,6.628054245248855e-07,2.989805918925964e-06,1.7427022412885674e-06,0.8733354599032886,1.3731393385959245e-06,2.4721148341774647e-06,0.05974288845962707,0.06690646673109459,7.368409722356828e-07,2.3976934965542946e-06,2.8098037632824812e-06
2-4A-rep2,2.585521202300452e-07,1.1662859578567359e-06,6.798063847135784e-07,0.8419950526151639,5.356445107849724e-07,9.643411296564184e-07,0.09123409941892746,0.06637594972385276,2.8743246297428394e-07,0.0003899101101252165,1.0960693644711856e-06
2-4B-rep2,4.3161243186381073e-07,1.9469324717634385e-06,1.1348307128238223e-06,0.3213707912347806,8.941749528439467e-07,1.6098170834838657e-06,0.3696504774619379,0.30896884304051353,4.798236588837651e-07,1.561354633833398e-06,1.8297168225497912e-06
2-4C-rep2,6.364396718037289e-07,8.991468999505453e-05,0.03551555015905103,0.1830680523450261,1.318517196239343e-06,2.3737765194858667e-06,0.7813097893319816,6.656862298216652e-06,7.075301577040899e-07,2.3023155900192183e-06,2.698032512661252e-06
2-5A-rep1,5.195021710100834e-07,2.3433885848086013e-06,1.365917604585865e-06,0.14047930031091183,1.0762568336118824e-06,1.9376259997600645e-06,0.0006431291609556552,0.4323486278033139,5.77530705998689e-07,0.42651892019874155,2.202304177253676e-06
2-5A-rep2,3.487670903080989e-07,1.5732308040134176e-06,9.170069638511174e-07,0.1374788720499534,7.22543591210013e-07,1.3008226331907323e-06,2.4660835340178933e-06,0.4409879103942936,3.8772446995382294e-07,0.4215240228626915,1.4785139749863103e-06
2-5B-rep1,3.542417986797545e-07,1.5979263102484529e-06,9.314015149465985e-07,0.4086715328284078,7.338855886564726e-07,1.3212420613933106e-06,2.504794434627704e-06,0.27819508581465735,3.9381070475217147e-07,0.31312404233184066,1.5017226809147188e-06
2-5B-rep2,0.8759278343874352,2.114299501121497e-06,1.2323858401763283e-06,0.049243430736667995,9.710422339409243e-07,1.748204165203506e-06,3.3142239348457994e-06,0.013338691487246151,5.210714481973575e-07,0.06147815515405703,1.987007470067346e-06
2-5C-rep1,3.9517520324801536e-07,1.782570144972202e-06,1.0390269706914941e-06,0.2926188860394414,8.186876527247196e-07,1.4739144338608747e-06,2.7942288388540503e-06,0.1600908940183239,4.393163818377419e-07,0.5472798017726299,1.6752499785862926e-06
2-5C-rep2,9.597358864975106e-07,4.329210244639722e-06,2.5234161015552844e-06,0.32620358976036207,1.9882925692055577e-06,3.5795985278842197e-06,6.786158821942656e-06,0.15476558254575104,1.0669386482514363e-06,0.5190055257742342,4.06856885272324e-06
