,16_1,16_2,16_3,16_4,16_5,16_6,16_7,16_8,16_9,16_10,16_11,16_12,16_13,16_14,16_15,16_16
1-1A-rep2,3.3467088477177084e-07,1.6228131086940323e-07,3.2444277964750437e-07,1.2373687062939145e-06,0.10426512321034392,4.132124392756911e-07,0.35625739842027243,6.213088187714986e-07,2.3170988757572214e-07,5.139537433739427e-07,0.5394711261197304,8.881245917334069e-07,1.6316335065071325e-07,1.8927972105329905e-07,9.946389895736495e-07,2.780944295093036e-07
1-1B-rep1,1.0877957497308913e-06,5.274702050788745e-07,1.0545508820467327e-06,4.021874865136359e-06,0.16294267989709216,1.3430828782329288e-06,0.03377550189258203,2.0194678506045075e-06,7.531370141366826e-07,1.6705268460437456e-06,0.8021079086587177,2.886711094626337e-06,0.0011537928875035147,6.152243455908619e-07,3.2329196073111974e-06,9.039027659975692e-07
1-1B-rep2,3.5395770152929215e-07,1.7163345367095874e-07,3.431401588462643e-07,1.3086772801367111e-06,0.1566452454548696,4.3702554331571985e-07,0.026000603043700807,6.571143515582833e-07,2.450631440014385e-07,5.435724885989874e-07,0.8172670203336175,9.39306505183368e-07,8.058540939119438e-05,2.001877607483543e-07,1.051959243006736e-06,2.9412079017372487e-07
1-1C-rep1,9.394438552151702e-07,4.555346379069992e-07,9.107328709416514e-07,0.00014575657714423093,0.8313634598611314,1.1599153217070143e-06,1.195551195306547e-06,1.744055962274473e-06,6.504253581068342e-07,1.442702989854501e-06,0.1684752301930604,2.4930259198926497e-06,4.580105833516474e-07,5.313210050573304e-07,2.7920190534339757e-06,7.806299109354734e-07
1-1C-rep2,3.1119930739750256e-07,1.5089998516171154e-07,3.016885331548277e-07,1.1505879415133698e-06,0.8274372929152732,3.842324826024849e-07,3.960371893139249e-07,5.777343739163526e-07,2.1545930587864559e-07,4.779084654507589e-07,0.17255640430218722,8.258374731898359e-07,1.5172016457238217e-07,1.7600490743719344e-07,9.248816635990205e-07,2.585907462891994e-07
1-2A-rep1,4.699471535255602e-07,2.278765305965611e-07,4.555847781059383e-07,0.6764556966661557,0.009360969776312865,5.80235743457012e-07,3.618591781846409e-05,8.724461078862942e-07,3.25368614554555e-07,7.216973741444615e-07,0.31410437743318503,3.683496624238608e-05,2.2911509691166087e-07,2.6578788348968716e-07,1.3966788962070568e-06,3.9050210671399083e-07
1-2A-rep2,6.575518505892574e-07,3.1884571121565166e-07,6.374559600935266e-07,0.743586139038825,0.012948520643564705,8.118680664962051e-07,8.368109457355085e-07,1.2207299235164439e-06,4.5525700713149224e-07,1.0098017199891126e-06,0.24345445393383003,1.744961977335978e-06,3.2057871793026106e-07,3.718914208581117e-07,1.9542384414718256e-06,5.463920379184135e-07
1-2B-rep1,1.7319579865414736e-06,8.398233166244945e-07,1.6790264374787591e-06,0.008793895700355986,0.044598269941959354,0.01797059258551426,2.2041172865579275e-06,3.215340263356881e-06,1.1991237021441945e-06,2.6597661495305254e-06,0.3698835910541447,0.04958179084827774,8.443879677883654e-07,9.795430062348086e-07,0.5091550676149137,1.4391687180371053e-06
1-2B-rep2,7.687101901455307e-07,3.727461903970418e-07,7.452171138348587e-07,2.8421293180133705e-06,0.0344057535628736,0.012109126348748904,9.78272817019296e-07,1.4270928304463592e-06,5.322176497617966e-07,1.1805074709872567e-06,0.4260080295427323,0.03719975751011827,3.747721597862498e-07,4.3475921265394587e-07,0.4902670378516273,6.387589465163456e-07
1-2C-rep2,7.237954893039166e-07,3.5096713263749145e-07,7.016750817933592e-07,2.6760675307387875e-06,0.0002761560006035793,8.936579585522432e-07,9.211136542019197e-07,1.3437097188727038e-06,5.011208894636762e-07,1.1115320097791192e-06,0.5915307816638122,1.9207543968902304e-06,3.5287472736457437e-07,4.093568175448205e-07,0.4081805542730553,6.01437121776056e-07
1-3A-rep1,1.6015172145563198e-06,7.765728205946313e-07,1.5525721548748507e-06,0.9972803829064402,4.647494793565167e-06,1.9773660180213165e-06,2.0381162850102183e-06,2.973179963045707e-06,1.108812838584665e-06,2.4594483863164503e-06,0.00268845498853018,4.249986739365827e-06,7.807936893883264e-07,9.057696543874732e-07,4.7596953800071525e-06,1.3307790919281532e-06
1-3A-rep2,1.196836852258839e-06,5.803440398283411e-07,1.1602595050843229e-06,0.9055216343160146,3.4731397134315787e-06,1.4777140696722762e-06,1.5231136180855128e-06,2.2219001555699724e-06,8.286317845440746e-07,1.8379811582528242e-06,0.09445507779462992,3.176076226376103e-06,5.834983557950559e-07,6.768946922178447e-07,3.5569888256848147e-06,9.945103586516312e-07
1-3B-rep2,9.795848537101979e-07,4.749989359735077e-07,9.496470930092043e-07,0.15400414873932136,2.8426890863828054e-06,1.2094767286229568e-06,1.2466352685751268e-06,1.8185768049712082e-06,6.782170384461711e-07,1.5043474811383975e-06,0.06047024926952216,2.599549102883245e-06,0.7673325829585252,5.540235386318334e-07,0.018177347301666338,8.139850325918469e-07
1-3C-rep1,1.457619775737369e-06,7.067972109887526e-07,1.4130724638084614e-06,0.9268804593364953,4.22991414464051e-06,1.7996983020487953e-06,1.8549901151741888e-06,2.706037669512118e-06,1.009185231618163e-06,0.0003333835420901179,0.07264965172620577,0.00011424981475199018,7.106388317771917e-07,8.243856191478693e-07,4.332033430128476e-06,1.2112076622727298e-06
1-3C-rep2,1.2022852054969952e-06,5.829859365268557e-07,1.1655413474838922e-06,4.445173324045348e-06,3.4889504665584815e-06,1.4844410585859052e-06,1.530047279091617e-06,2.232014898347663e-06,0.04142670793047505,1.8463481888772046e-06,1.5257830123884928e-05,3.1905346591691337e-06,5.861546118672638e-07,6.799761158732706e-07,0.9585346007486468,9.990376622040853e-07
1-3C-rep3,7.061839265928327e-07,3.424273175138591e-07,6.846017580597545e-07,0.8713105719740208,2.049298060807188e-06,8.719132621402247e-07,8.987008993219274e-07,1.311014256785508e-06,4.889274976823718e-07,0.0002684716954948627,0.12840829998524633,1.8740181474754202e-06,3.4428849619571953e-07,3.993962508240556e-07,2.09877255285726e-06,5.868028117486206e-07
1-4A-rep1,1.0602830921151534e-06,5.141293668209311e-07,1.027879057521491e-06,0.8637899426096115,3.0768699240460535e-06,1.309113468637861e-06,0.003935678678767979,1.968391233001049e-06,7.340885844909445e-07,1.6282756852311847e-06,0.08608694671544306,2.8137000592351297e-06,5.169237893693214e-07,5.996640193243773e-07,0.04617130163674638,8.810411512827095e-07
1-4A-rep3,7.424331544277822e-07,3.6000450297793344e-07,7.197431485242014e-07,0.8218070290131806,2.154490871788216e-06,9.166695661305001e-07,0.0011816173344517556,0.00022626831053719726,5.140247047850178e-07,1.140153853488927e-06,0.12898383723104828,1.9702136402309983e-06,3.619612180881091e-07,4.1989771672741847e-07,0.04779133159433445,6.169240705542309e-07
1-4B-rep3,3.237737957243447e-07,1.5699733196432792e-07,3.1387872396926894e-07,0.33396814364054417,9.395696881963221e-07,3.9975798909439715e-07,4.120396832001413e-07,6.010786229816219e-07,0.03410550444328339,0.003531166061678139,0.5538042279926225,8.592067109087042e-07,1.5785065198996855e-07,1.8311665737180682e-07,0.07458634155251172,2.690395045073195e-07
1-4C-rep1,1.3173028699056447e-06,6.387577953968065e-07,1.2770438786190823e-06,0.99995765061542,3.822723960623179e-06,1.626451409150167e-06,1.6764205885786784e-06,2.4455425533162984e-06,9.120366120200938e-07,2.022980701195287e-06,1.671748377076461e-05,3.4957599443466093e-06,6.42229604831568e-07,7.450266249736291e-07,3.915012793476012e-06,1.0946114728420458e-06
1-4C-rep2,2.9272525449579686e-07,1.4194195009390458e-07,2.8377907838145563e-07,1.0822843752961356e-06,0.07612339091361778,3.6142288424728946e-07,3.725268156964063e-07,5.434377185795478e-07,2.0266876772400046e-07,4.495378808670569e-07,3.714885773897193e-06,7.768124117412498e-07,1.4271344032866305e-07,0.9238671311333425,8.699769373512814e-07,2.432397509197394e-07
1-4C-rep3,5.822050142956095e-07,2.823101656394836e-07,5.644118498434598e-07,0.9998490164098309,1.6895196305935335e-06,7.188386114904718e-07,7.409233632116914e-07,1.0808502507217803e-06,4.030905123415633e-07,8.940916587720684e-07,0.0001396551238626549,1.5450121721196255e-06,2.838445924655193e-07,3.2927753119861534e-07,1.7303082923947927e-06,4.8378266134028e-07
1-5A-rep1,1.3724787288469075e-06,6.655124702871531e-07,1.3305334705103813e-06,0.8027927261739334,0.09271327664692706,1.6945761020937993e-06,1.7466382644334888e-06,2.5479752694663064e-06,0.00322291000002879,2.10771421264512e-06,0.1012493147521893,3.642181516779379e-06,6.691296981158313e-07,7.76232420471497e-07,4.078994971440556e-06,1.1404597964134859e-06
1-5A-rep2,3.81220216118843e-07,1.848529980248264e-07,3.6956948513691687e-07,1.409474164308444e-06,1.1062753203717157e-06,4.7068610557831333e-07,4.851469116816075e-07,7.077265843729956e-07,0.9999865987849014,5.85439505016151e-07,4.8379479933195786e-06,1.0116537296991268e-06,1.8585772060858424e-07,2.1560661369171898e-07,1.132983201762753e-06,3.167745487967388e-07
