,6_1,6_2,6_3,6_4,6_5,6_6
1-4A-rep3,0.8569505835982175,8.709353763992459e-07,6.845410940056974e-07,0.1430403167054808,5.378252148986211e-06,2.165967682357482e-06
1-4B-rep3,0.24982205942202548,3.7981303671097813e-07,2.985268927100895e-07,0.7399987734607834,0.010177544203433248,9.445738284914004e-07
1-4C-rep1,0.9999660384648152,1.5453069762251542e-06,1.2145862445652738e-06,1.7815877817321603e-05,9.542671926001138e-06,3.843092220760713e-06
1-4C-rep2,2.297299842537923e-06,3.4339054502800235e-07,0.9999904258336076,3.9589570797038755e-06,2.12052580109203e-06,8.539931240740203e-07
1-4C-rep3,0.9998968123236742,6.8297429894611e-07,5.368067326777486e-07,9.605183264477567e-05,4.217543678378991e-06,1.6985189710790955e-06
1-5A-rep1,0.8407369587386767,1.6100330928287652e-06,1.2654599234526326e-06,0.1592462193333394,9.942372506724045e-06,4.004062460995457e-06
1-5A-rep2,2.991806483449369e-06,0.9670771682551909,0.03291081037323358,5.155806499194634e-06,2.761591117779426e-06,1.1121674751012213e-06
1-5A-rep3,0.8363846548293024,7.377841367137866e-07,5.798863770744195e-07,0.16360763666354292,4.556008661829682e-06,1.8348279791835308e-06
1-5B-rep1,0.9564607380660677,1.9088103148625635e-06,1.5002939788570407e-06,0.04351931832544698,1.1787399451334901e-05,4.747104740234664e-06
1-5B-rep2,0.009826474158719916,0.9085798306018578,0.08155182624274278,3.7589385029702113e-05,3.0509225694470757e-06,1.228689080344262e-06
1-5B-rep3,0.9419092537902467,9.292957398743411e-07,7.304113940789124e-07,0.058081036753418774,5.738642550824317e-06,2.3111066497746765e-06
1-5C-rep1,0.2712001617243639,1.5657685275563272e-06,1.2306686923712224e-06,0.7287834788321393,9.669027319754286e-06,3.893978957153774e-06
1-5C-rep2,0.27189091438753943,0.7211075901474105,0.0069915106388405025,5.701252644975757e-06,3.053747006805025e-06,1.2298265577009741e-06
1-5C-rep3,0.1777520225770931,5.37682392231648e-05,6.446714816945735e-07,0.8221864596891031,5.065007509666186e-06,2.0398155893272605e-06
1-6A-rep1,0.07110688227060143,9.967441435864277e-07,6.512750981680115e-05,0.9288183594744106,6.155153961475673e-06,2.4788470661428484e-06
1-6A-rep2,4.838073861129047e-05,0.9510145615831971,0.026785335176871178,0.022145840153684437,4.193508344348148e-06,1.6888392916398772e-06
1-6A-rep3,5.630032769957669e-06,8.41553194582332e-07,0.9182704617799449,0.08171577692870972,5.19680954511352e-06,2.0928958357232337e-06
1-6B-rep1,0.12615821589091167,1.7636411444652552e-06,1.3861933631138598e-06,0.8699524383207876,0.0038818098766792808,4.386077113988515e-06
1-6B-rep2,0.12530738283191198,6.414575556401123e-07,5.041752451387542e-07,0.8746859150991345,3.961167005717536e-06,1.5952691471377377e-06
1-6C-rep2,0.15139413116532066,6.077117888181249e-07,4.776516192023621e-07,0.8485995193478322,3.7527781311262904e-06,1.5113453080866875e-06
1-7A-rep1,0.9225637521131022,2.1996402376243546e-06,1.7288815858044548e-06,0.07741326563278589,1.3583349758865034e-05,5.47038252964874e-06
1-7A-rep2,0.7969158548304701,6.232875942570295e-07,4.898939499011671e-07,0.20307763294374376,3.848962775066599e-06,1.5500814670734022e-06
1-7B-rep2,0.8354591394939618,8.612989093132899e-07,6.769669870166776e-07,0.15769299782934115,5.318744461942942e-06,0.006841005666338774
1-7C-rep1,0.6245082597516881,1.5087341356724306e-06,1.1858405844838527e-06,0.3754759767108478,9.316825136873759e-06,3.7521376070938332e-06
1-7C-rep2,0.5002393368119559,6.889276153279004e-07,5.41485942891716e-07,0.49975346514299596,4.254306953234509e-06,1.7133245367217712e-06
1-8A-rep1,1.3165380887664815e-06,1.9679047701157175e-07,1.546741263173255e-07,0.9999966273580664,1.2152323060561163e-06,4.894069352941104e-07
1-8A-rep2,2.1483355655960507e-06,3.2112400267179815e-07,2.523982628989826e-07,0.9999944965005741,1.9830241189662477e-06,7.986174757213533e-07
1-8B-rep1,7.851448823747142e-05,1.1020456725363687e-06,8.66190042068595e-07,0.9999099711317034,6.805418251701195e-06,2.740726092749122e-06
1-8B-rep2,2.0319519044830966e-06,3.037274712822427e-07,2.3872487110435223e-07,0.9999947946464609,1.875596019400922e-06,7.553532728930352e-07
1-8C-rep1,0.00014558969128075728,2.0435271609563975e-06,1.60617923705764e-06,0.9920498739761683,1.2619310964683132e-05,0.007788267315188307
