,2_1,2_2
2-8C-rep2,0.9999945007292513,5.499270748594463e-06
2-9A-rep1,0.7888295976378465,0.21117040236215356
2-9A-rep2,0.8064056294250829,0.19359437057491713
2-9B-rep1,0.999988915431458,1.1084568542121957e-05
2-9B-rep2,0.993113890178728,0.006886109821271942
2-9C-rep1,0.9911217831876259,0.008878216812374166
2-9C-rep2,0.9836269774828781,0.016373022517121884
3-10A-rep2,0.4156901125619017,0.5843098874380984
3-10B-rep1,0.41229026809585034,0.5877097319041497
3-10B-rep2,0.4040692757620043,0.5959307242379958
3-10C-rep1,0.2020239727623378,0.7979760272376623
3-10C-rep2,0.22320468405452543,0.7767953159454746
3-11A-rep2,0.03416378617041178,0.9658362138295882
3-11B-rep2,0.026175254872782182,0.9738247451272178
3-12A-rep2,0.09088978919558562,0.9091102108044143
3-12B-rep2,0.438693977266042,0.5613060227339581
3-12C-rep2,0.38505401272560813,0.6149459872743919
3-1A-rep1,0.860795114599377,0.13920488540062312
3-1A-rep2,0.3797502799907498,0.6202497200092503
3-1B-rep1,0.9255585321967488,0.07444146780325132
3-1B-rep2,0.6147524590315148,0.3852475409684853
3-1C-rep1,0.9184036816060897,0.08159631839391047
3-1C-rep2,0.5221379587491856,0.47786204125081455
3-2A-rep1,0.7068652902991397,0.2931347097008603
3-2A-rep2,0.215029025750888,0.784970974249112
3-2B-rep2,0.20699298474115363,0.7930070152588463
3-2C-rep2,0.24506610860951125,0.7549338913904887
3-3A-rep2,0.6050497561039017,0.39495024389609834
3-3B-rep1,0.7996862152965626,0.2003137847034375
3-3B-rep2,0.22303075565659705,0.776969244343403
3-3C-rep1,0.6851559193381228,0.31484408066187713
3-3C-rep2,0.08103634560074963,0.9189636543992504
3-4A-rep1,0.9063746468606102,0.09362535313938984
3-4A-rep2,0.32942293655990224,0.6705770634400978
3-4A2-rep1,0.28137888930818644,0.7186211106918136
3-4B-rep1,0.30630285695913356,0.6936971430408665
3-4B-rep2,0.3423679268374412,0.6576320731625589
3-4B2-rep1,0.23344589672911045,0.7665541032708896
3-4C-rep2,0.7626653026164989,0.23733469738350121
3-4C2-rep1,0.28825056168882696,0.7117494383111731
3-5A-rep1,0.7676868642020822,0.23231313579791782
3-5A-rep2,0.7881344573536493,0.2118655426463508
3-5B-rep1,0.55946997229186,0.44053002770814004
3-5B-rep2,0.6121326652096658,0.3878673347903342
3-6A-rep2,0.16920502759445472,0.8307949724055453
3-6C-rep2,0.29446263120160415,0.7055373687983959
3-7A-rep2,0.19700992341342718,0.8029900765865727
3-7B-rep2,0.00013436709181888527,0.9998656329081811
3-7C-rep2,0.5498884690922995,0.4501115309077006
3-8A-rep1,0.7104966700112808,0.2895033299887193
3-8A-rep2,0.7861501639576851,0.213849836042315
3-8B-rep1,0.0814528508763621,0.9185471491236379
3-9A-rep2,0.2348607417441227,0.7651392582558774
4-10A-rep1,6.749753386985888e-06,0.999993250246613
4-10A-rep2,5.668930569734456e-06,0.9999943310694304
4-10B-rep1,0.021861030905277818,0.9781389690947223
4-10B-rep2,6.97499190671265e-06,0.9999930250080933
4-10C-rep1,0.0004824387607156428,0.9995175612392844
4-10C-rep2,6.72425729428774e-06,0.9999932757427057
4-11A-rep1,4.4266701900206576e-05,0.9999557332980998
4-11A-rep2,4.301248525709207e-06,0.9999956987514743
4-11B-rep1,9.531279940001981e-06,0.99999046872006
4-11B-rep2,8.875931735095749e-05,0.9999112406826491
4-11C-rep1,7.481643766247381e-06,0.9999925183562337
4-11C-rep2,8.817606739305201e-06,0.9999911823932607
4-12A-rep1,0.022220742796201714,0.9777792572037983
4-12C-rep1,0.0327087976347457,0.9672912023652545
4-12C-rep2,0.03432446136114875,0.9656755386388511
4-1A-rep1,5.891208099997964e-07,0.9999994108791899
4-1A-rep2,0.010571855266015631,0.9894281447339844
4-1B-rep1,0.13853163379655192,0.8614683662034479
4-1B-rep2,0.23635545456985754,0.7636445454301425
4-1C-rep1,0.04436643986276464,0.9556335601372353
4-1C-rep2,0.030796209101579285,0.9692037908984208
4-2A-rep1,0.0002973361321877795,0.9997026638678124
4-2A-rep2,0.00022575684276322406,0.9997742431572367
4-2B-rep1,0.15869360507399874,0.8413063949260013
4-2B-rep2,0.17160013273814168,0.8283998672618583
4-2C-rep1,0.13820923624622428,0.8617907637537758
4-2C-rep2,0.06221795713648308,0.937782042863517
4-3A-rep1,0.030664058133144496,0.9693359418668556
4-3B-rep1,0.25344206885326187,0.7465579311467381
4-3B-rep2,0.16790763521699695,0.8320923647830031
4-3C-rep1,0.0893479476619115,0.9106520523380885
4-4B-rep1,5.696373979522358e-05,0.9999430362602048
4-4C-rep1,0.08090332821968758,0.9190966717803124
4-4C-rep2,0.06785795674759613,0.9321420432524039
4-5A-rep1,1.0150864381135554e-05,0.9999898491356188
4-5A-rep2,5.649287036491118e-07,0.9999994350712963
4-5B-rep1,0.015266247786087173,0.9847337522139129
4-5B-rep2,0.006418700618810351,0.9935812993811897
4-5C-rep1,5.0067246827992495e-06,0.9999949932753173
4-5C-rep2,1.6081115301273194e-06,0.9999983918884698
4-6A-rep1,0.13351257529263116,0.8664874247073688
4-6A-rep2,0.10914980696405394,0.8908501930359461
4-6B-rep1,0.1616156693162643,0.8383843306837357
4-6B-rep2,0.07704817044820497,0.9229518295517951
4-6C-rep1,0.029374488280494736,0.9706255117195054
4-7A-rep1,0.20099258243772802,0.799007417562272
4-7B-rep1,0.0013663494435991494,0.9986336505564009
4-7B-rep2,0.00021880201695968941,0.9997811979830403
4-7C-rep1,5.640192575426819e-06,0.9999943598074247
4-7C-rep2,1.747731757200128e-06,0.9999982522682428
4-8A-rep1,0.11180447126489611,0.8881955287351039
4-8A-rep2,0.11914765501631794,0.8808523449836821
4-8B-rep1,0.024481379112336193,0.975518620887664
4-8B-rep2,0.020417048595384252,0.9795829514046156
4-8C-rep1,0.030530705365671304,0.9694692946343286
4-8C-rep2,0.0031036647855492506,0.9968963352144508
4-9A-rep1,1.1310722802392492e-05,0.9999886892771976
4-9B-rep1,0.09573495552281214,0.9042650444771878
4-9C-rep1,0.10279479817939455,0.8972052018206055
5-10A-rep1,0.00858892313215411,0.9914110768678459
5-10B-rep1,0.02467299272023348,0.9753270072797665
5-10B-rep2,0.005892110544941515,0.9941078894550585
5-10C-rep1,0.08950526837304908,0.9104947316269509
5-11A-rep1,0.03683382373328574,0.9631661762667143
5-11B-rep1,0.10970548480586383,0.8902945151941362
5-11C-rep1,0.05159350057180392,0.9484064994281961
5-11C-rep2,8.465595871844985e-05,0.9999153440412816
5-12A-rep1,0.5342066679947272,0.4657933320052729
5-12A-rep2,0.4824188284842599,0.5175811715157401
5-12B-rep1,0.24404387155040488,0.7559561284495951
5-12B-rep2,0.14647727886338588,0.8535227211366141
5-12C-rep1,8.728257652227163e-06,0.9999912717423478
5-12C-rep2,0.0069159224639448735,0.9930840775360551
5-1A-rep1,4.296576867752079e-06,0.9999957034231323
5-1A-rep2,2.274419669051401e-06,0.999997725580331
5-1B-rep1,0.16615330341999915,0.8338466965800009
5-1B-rep2,0.1466765189196862,0.8533234810803139
5-1C-rep1,0.1190468802560595,0.8809531197439405
5-1C-rep2,0.07941904788059524,0.9205809521194047
5-2A-rep1,3.10310432581439e-06,0.9999968968956743
5-2A-rep2,1.193507950025919e-05,0.9999880649204997
5-2B-rep1,4.865768610808653e-06,0.9999951342313893
5-2C-rep1,5.094607178822535e-06,0.9999949053928212
5-3A-rep1,0.020527385547962684,0.9794726144520371
5-3B-rep1,3.209399907955072e-06,0.9999967906000921
5-3B-rep2,4.758889184381289e-06,0.9999952411108157
5-3C-rep1,2.9078962875995426e-05,0.999970921037124
5-3C-rep2,3.711600416851305e-06,0.9999962883995832
5-4B-rep1,8.849089432506928e-05,0.9999115091056751
5-4C-rep1,5.93610102118559e-06,0.9999940638989789
5-4C-rep2,7.400260737093871e-06,0.9999925997392629
5-5A-rep1,7.131945689442639e-06,0.9999928680543105
5-5A-rep2,6.394932995565885e-06,0.9999936050670045
5-5B-rep1,3.7594141465879152e-06,0.9999962405858535
5-5B-rep2,7.865085949792661e-06,0.9999921349140501
5-5C-rep1,8.589281672615581e-06,0.9999914107183274
