,19_1,19_2,19_3,19_4,19_5,19_6,19_7,19_8,19_9,19_10,19_11,19_12,19_13,19_14,19_15,19_16,19_17,19_18,19_19
1-12A-rep1,4.221599251830733e-07,1.3055267597087093e-06,1.134958920447793e-06,9.203145721068864e-07,2.7786293848252776e-06,2.3414162524271213e-06,7.501274290212456e-07,4.835259977305777e-07,7.501661934921966e-07,0.010048545652262616,9.52125896390634e-06,9.691100250970802e-07,1.8179710361778098e-06,3.618695535135695e-07,1.947513927048759e-06,0.9899237275900414,3.1188653023582073e-07,1.0521278703876022e-06,8.581943545976614e-07
1-12A-rep2,2.909264621987922e-07,8.996881486161875e-07,7.821433626691289e-07,6.34223777770811e-07,1.9148592001911706e-06,0.00010123283887933383,5.169413440387275e-07,3.33216156981019e-07,5.169680581101493e-07,0.009265888104044016,6.561461713464584e-06,6.678505804657099e-07,0.014695096615146053,2.493780738081778e-07,1.342105924984396e-06,0.9759215412705478,2.1493287125635025e-07,7.250613354166081e-07,5.914143730099468e-07
1-12B-rep1,6.987034646250017e-07,2.1607358153987597e-06,0.000958880908077631,1.5231833760561315e-06,4.59882111558632e-06,3.8752035664936e-06,1.241512048639154e-06,8.002684994415507e-07,1.2415762064820524e-06,0.00012273562646599638,0.12490458114651594,1.603943178274236e-06,0.008735656438256677,5.989187881170564e-07,3.223268356522274e-06,0.8652529018392388,5.161934760887998e-07,1.7413433734847024e-06,1.4203701799003574e-06
1-12B-rep2,2.900884086460457e-07,8.970964735804649e-07,7.798902915016322e-07,6.323968092435069e-07,1.9093431857880773e-06,0.002236585950905456,5.154522236381324e-07,3.32256282165645e-07,5.154788607560097e-07,5.0957501097844635e-05,0.165692840457931,6.65926745323891e-07,1.2492240342820886e-06,2.4865970608338414e-07,1.3382398048999786e-06,0.8320087150400926,2.143137276590404e-07,7.2297269685306e-07,5.897107228411023e-07
1-12C-rep1,7.733619944742894e-07,2.391616822203203e-06,2.079150677277704e-06,1.6859400207627082e-06,5.09021874120681e-06,4.289280518718829e-06,1.3741712796783527e-06,8.857795533835377e-07,1.3742422929763497e-06,3.4426638474126545e-06,0.16552697589190518,1.7753292464913413e-06,3.3303722654992874e-06,6.629150304198407e-07,3.567684105107173e-06,0.8344362304794355,5.713502743498002e-07,1.9274110585747458e-06,1.572140930786848e-06
1-12C-rep2,2.858435798119573e-07,8.839693686548084e-07,7.684782505578279e-07,6.231430227065283e-07,1.881403996328451e-06,1.5853679222001645e-06,5.079096731732365e-07,3.2739441590416124e-07,5.079359205133679e-07,1.2724485625940008e-06,0.17829267207477473,6.561823192603507e-07,1.2309442890633578e-06,2.4502109847687824e-07,1.3186575026036621e-06,0.821693728572522,2.111777006286806e-07,7.123935242339808e-07,5.810815566783779e-07
1-1A-rep1,2.8012682749369266e-07,8.662903501480547e-07,7.531090062204091e-07,6.10680422280059e-07,1.8437767014818128e-06,1.5536612253049519e-06,4.977516916523911e-07,3.208466642025548e-07,4.977774140566726e-07,0.553227114213953,0.4467595864725313,6.430589466895773e-07,1.2063259169355426e-06,2.401207787507437e-07,1.2922849028063683e-06,1.2189423139777902e-06,2.0695423473719897e-07,6.981459510197757e-07,5.694601680208917e-07
1-1A-rep2,1.4802701219874548e-07,4.5777255029923513e-07,3.979642972727547e-07,3.227009677265585e-07,9.743042418461556e-07,8.209989425454522e-07,2.630262027789313e-07,1.6954453631153108e-07,2.6303979523163e-07,0.553077664200923,0.4469153080621707,3.398107043077614e-07,6.374570505065283e-07,1.2688667402306878e-07,6.828802324414289e-07,6.441239148536037e-07,1.093605253881482e-07,3.6892024991942626e-07,3.009190086951818e-07
1-1B-rep1,4.8113987206488e-07,1.4879218530065992e-06,1.2935239874943975e-06,1.048891685516876e-06,3.1668315891206108e-06,2.668535426840618e-06,8.549277032279296e-07,5.510793962436053e-07,8.549718834816235e-07,0.3028992693726263,0.6969955118532334,1.1045043493642758e-06,2.0719596995970856e-06,4.1242633489237476e-07,2.21960102276042e-06,8.446978588196505e-05,3.554601853583019e-07,1.1991206146217185e-06,9.780926548128849e-07
1-1B-rep2,1.5655769987509662e-07,4.841536451778266e-07,4.2089868658417524e-07,3.412979867951827e-07,1.0304526776314727e-06,8.683125068567176e-07,2.781842091000417e-07,1.793152630526988e-07,2.7819858487577716e-07,0.27790776805720985,0.7220847992025826,3.593937448925324e-07,6.741932307765052e-07,1.3419905958232382e-07,7.222341172276089e-07,6.812443016050918e-07,1.1566289191132976e-07,3.90180852175713e-07,3.1826074950941367e-07
