,14_1,14_2,14_3,14_4,14_5,14_6,14_7,14_8,14_9,14_10,14_11,14_12,14_13,14_14
1-12B-rep2,1.1389222080229011e-06,4.2053795237114317e-07,5.842159474270545e-07,8.334599528037072e-07,3.682894542151188e-07,2.0920923932600807e-06,1.595790500060574e-06,8.919243428362184e-07,0.798038228014808,2.5838533667199623e-07,2.081548064971341e-06,0.1992674575583497,0.0026836746023041025,3.7465838559090756e-07
1-12C-rep1,3.036314912112468e-06,1.1211350932477994e-06,1.5574931988954693e-06,2.221966404307365e-06,9.818429686680075e-07,5.577423362566406e-06,4.254305041915475e-06,2.377829814497101e-06,0.7927309252123658,6.88843579729905e-07,5.549312661944555e-06,0.20723617460769875,4.5348906469603665e-06,9.988222506367893e-07
1-12C-rep2,1.1222564893427143e-06,4.143842685117988e-07,5.756671821472906e-07,8.212640284404963e-07,3.6290031666595846e-07,2.061479044048498e-06,1.5724394798072312e-06,8.788729157264398e-07,0.7826901693867191,2.546044135310416e-07,2.051089009712141e-06,0.2172976703329734,1.6761471073730105e-06,3.6917605219583735e-07
1-1A-rep1,1.0998118188358912e-06,4.060967527270557e-07,5.641540740943761e-07,8.04839083971475e-07,3.5564245884848253e-07,2.020250306821514e-06,0.10129443228741968,8.612958170879603e-07,2.0222508432882764e-06,2.4951242945649733e-07,2.0100680689197937e-06,0.5607624344907122,1.6426248511836209e-06,0.3379310966753629
1-1A-rep2,5.811718503631114e-07,2.145930759851658e-07,2.9811506070043394e-07,4.25299866454744e-07,1.87931591874901e-07,1.067557730244121e-06,0.10416371465182901,4.5513321020394406e-07,1.0686148706204973e-06,1.318494653651885e-07,1.0621771460925126e-06,0.5529791945621881,8.68009697536505e-07,0.34285073033241753
1-1B-rep1,1.889013898238454e-06,6.975033335638116e-07,9.68979300331688e-07,1.3823748657991846e-06,6.108440881091548e-07,3.469939895304751e-06,0.1790885346769053,1.4793437760069892e-06,3.4733759751185205e-06,4.285573576809282e-07,3.452451095328153e-06,0.7901638426004916,2.8213382692705345e-06,0.03072694900074836
1-1B-rep2,6.146643635307404e-07,2.2695991966251297e-07,3.152952159156934e-07,4.4980958998751084e-07,1.9876195351673034e-07,1.129080309692981e-06,0.16664328496507627,4.813622077478837e-07,1.1301983723042413e-06,1.3944785464045944e-07,1.12338964637041e-06,0.8091454897695604,9.180324682646592e-07,0.02420449826346178
1-1C-rep1,1.6313922612865302e-06,6.023785963981934e-07,8.368309695244003e-07,1.1938481026342971e-06,5.27537843487115e-07,2.9967133103723653e-06,0.8391202419463387,1.277592499563256e-06,2.9996807814018658e-06,3.701111767838435e-07,2.9816096136935764e-06,0.16086136713054436,2.4365672604376326e-06,5.366607012959583e-07
1-1C-rep2,5.404122991489006e-07,1.9954293640017474e-07,2.772072413062995e-07,3.954721456569656e-07,1.747513125151776e-07,9.926862891156062e-07,0.835969068065936,4.232131759163142e-07,9.936692886551807e-07,1.2260241557645394e-07,9.876830635630986e-07,0.16402483978732482,8.071332361265695e-07,1.7777333528694042e-07
1-2A-rep1,3.640400063837796e-05,3.013332144055885e-07,4.186154147386783e-07,5.972092774043401e-07,2.6389495750523546e-07,0.7428280435776882,0.006442556020458376,6.391014835118418e-07,1.5005570540772997e-06,1.8514401284269314e-07,1.4915171527823976e-06,0.25068611170432353,1.2188657583340598e-06,2.6845856598093683e-07
1-2A-rep2,1.1418712517741022e-06,4.2162686328344846e-07,5.857286744394661e-07,8.356180544267837e-07,3.6924307660120935e-07,0.8572690155563097,0.011404604350541572,8.942338279716004e-07,2.0995865495162297e-06,2.59054381192462e-07,2.0869378767342395e-06,0.1313156051213415,1.705442752016986e-06,3.756284992326285e-07
1-2B-rep1,3.0076419792158754e-06,1.1105478411915415e-06,1.5427852719275912e-06,2.200983635571805e-06,9.725710985325008e-07,0.16644426939347992,0.00918523235305227,2.355375175672053e-06,0.04276284366248862,6.823386004014919e-07,0.5067977028088523,0.24292134910878324,0.03187574103970162,9.89390039487055e-07
