,18_1,18_2,18_3,18_4,18_5,18_6,18_7,18_8,18_9,18_10,18_11,18_12,18_13,18_14,18_15,18_16,18_17,18_18
1-12A-rep1,2.000268559600703e-06,2.150001149173131e-06,4.487074589602644e-07,0.005567298830520206,2.0672163248719254e-06,1.7629097007256848e-06,1.6704628319211465e-06,0.994405336556916,3.2810849721072247e-07,6.525452093085886e-07,7.590230702229168e-07,8.406739983046629e-06,3.2453579287129855e-06,8.59638632080553e-07,7.089693726201711e-07,1.2591847537830227e-06,3.6101121038706735e-07,6.844678811987939e-07
1-12A-rep2,1.378461190529339e-06,1.4816476165181835e-06,3.0922138685278934e-07,1.295485418871645e-06,1.424597443472029e-06,1.2148881674884445e-06,1.1511795118574965e-06,0.9999798465186226,2.2611205256266724e-07,4.496937382634736e-07,5.230716845479873e-07,5.793404465555536e-06,2.2364996603258914e-06,5.924096974454866e-07,4.885777765891233e-07,8.677521358145174e-07,2.4878656442209655e-07,4.716928663742679e-07
1-12B-rep1,3.3105806602784416e-06,3.5583982910024093e-06,7.426413961398605e-07,3.1113019378820886e-06,3.421383770136856e-06,2.917735587567677e-06,0.00048126588964249664,0.999473097241152,5.430419031110882e-07,1.080006751856163e-06,1.2562348615261765e-06,1.3913727069438811e-05,5.3712883417131e-06,1.422760467105576e-06,1.1733925839411338e-06,2.0840365027902533e-06,5.974981336954654e-07,1.1328409473829999e-06
1-12B-rep2,1.3744903443841738e-06,1.4773795277486437e-06,3.083306323212703e-07,1.2917535957945882e-06,1.4204936955350623e-06,0.0021368559730816548,1.1478633816984042e-06,0.8998032737114081,2.2546070584470188e-07,4.4839833389564883e-07,5.215649049618063e-07,0.09804676299328134,2.2300571169188778e-06,5.907031802220624e-07,4.871703614263958e-07,8.652524570080831e-07,2.480699006689987e-07,4.703340905066462e-07
1-12C-rep1,3.6643259235870564e-06,3.938623595738437e-06,8.219948096885511e-07,3.443753684626762e-06,3.786968671048193e-06,3.2295042014767043e-06,3.0601492134732215e-06,0.9287111359029895,6.010675248119913e-07,1.1954086441569256e-06,1.3904672447452167e-06,0.07125069109478561,5.945226270954185e-06,1.5747866001945726e-06,1.2987730265779614e-06,2.3067219217772346e-06,6.613425635160429e-07,1.2538883285952962e-06
1-12C-rep2,1.354377593621173e-06,1.4557612120250207e-06,3.03818867516364e-07,1.272851521854544e-06,1.399707783305529e-06,1.193662414369449e-06,1.1310668358365858e-06,0.8878600462286076,2.221615666386448e-07,4.418369753753541e-07,5.139329088673375e-07,0.11212584458460806,2.1974249611797693e-06,5.820594921181338e-07,4.800416565224118e-07,8.525913225839816e-07,2.444399238529787e-07,4.6345174871621255e-07
1-1A-rep1,0.12628165797969074,1.426646597126827e-06,0.001247274042623464,1.247395024198706e-06,1.3717142135192743e-06,1.1697896657168924e-06,1.1084459725538687e-06,1.5232955224202697e-06,2.1771842829670062e-07,4.3300042080886587e-07,5.036544658084193e-07,0.872457342706435,2.1534773817388853e-06,5.704185459101464e-07,4.7044102432442964e-07,8.355398530039916e-07,2.3955122769186615e-07,4.541829077302672e-07
1-1A-rep2,0.12796137151576395,7.538808101448411e-07,1.5733570319676026e-07,6.591591591831098e-07,7.248529696546658e-07,6.181502711784168e-07,5.85734511597766e-07,8.049528627797317e-07,1.1504863603805791e-07,2.2880978981750284e-07,2.66145405233083e-07,0.8720312183231793,1.1379589566494288e-06,3.0142545209053944e-07,2.4859447410264383e-07,4.4152312321742674e-07,1.265857108321276e-07,2.400032209260543e-07
1-1B-rep1,0.22398302453153487,2.4503776936368842e-06,0.0010714013126731756,2.1424990243595863e-06,2.3560270060024436e-06,2.0092057198274723e-06,1.903843103973831e-06,2.6163798213747435e-06,3.739485176401327e-07,7.437122652675464e-07,8.650661423810466e-07,0.7749219999233367,3.698766709703526e-06,9.797386989531737e-07,8.080194453888223e-07,1.4351053877455904e-06,4.1144806709779464e-07,7.800948519238987e-07
1-1B-rep2,0.213202204391416,7.973264043602405e-07,0.00010738363321480492,0.00016152299157150157,7.666257108647696e-07,6.537738146939983e-07,6.194899588334405e-07,8.513417016628082e-07,1.2167880394932802e-07,2.419959289885107e-07,2.814831683415882e-07,0.7865219153294911,1.2035386907387893e-06,3.187963782389353e-07,2.6292079001454375e-07,4.6696777466615465e-07,1.33880751841626e-07,2.5383442926353526e-07
1-1C-rep1,0.8756862229731232,2.1161981110907403e-06,4.4165273002259857e-07,1.8503075669262056e-06,2.0347148575210546e-06,1.7351926440290572e-06,1.6441992558554476e-06,2.2595610669600076e-06,3.2294986553713684e-07,6.422856749966078e-07,7.470894553232104e-07,0.12429297616735117,3.194333324518023e-06,8.461231056221189e-07,6.97822718716686e-07,1.2393874293949575e-06,3.5533527123811515e-07,6.737064479487539e-07
