,4_1,4_2,4_3,4_4
1-6B-rep2,7.311105512166975e-07,3.3422727969354888e-06,1.7942411938777901e-06,0.999994132375458
1-6C-rep2,6.92648080134469e-07,3.1664415624017825e-06,1.6998492446449124e-06,0.9999944410611128
1-7A-rep1,2.5071126358590366e-06,1.1461268542411253e-05,0.004976132411667795,0.995009899207154
1-7A-rep2,7.10400939502426e-07,0.00020442826868928015,0.0036632316094182015,0.996131629720953
1-7B-rep2,9.816801747994644e-07,0.001783720310839525,0.012179031995492232,0.9860362660134935
1-7C-rep1,1.7196171773713523e-06,7.861232071547209e-06,4.220166118796761e-06,0.9999861989846321
1-7C-rep2,7.85215629209257e-07,3.589614228473667e-06,1.927022152339772e-06,0.99999369814799
1-8A-rep1,2.2429375890498086e-07,1.0253591986368855e-06,5.504463054011236e-07,0.9999981999007371
1-8A-rep2,3.6600451507019334e-07,1.6731900972279856e-06,8.98223089505875e-07,0.9999970625822983
1-8B-rep1,1.2560785755031073e-06,7.688473095837985e-05,3.082581586552731e-06,0.9999187766088794
1-8B-rep2,3.461765695780927e-07,1.5825466196758126e-06,8.495627103981115e-07,0.9999972217141004
1-8C-rep1,2.3291738033382033e-06,1.0647820947566506e-05,5.716098035646796e-06,0.9999813069072134
1-8C-rep2,0.9704307201444702,5.323637715935157e-05,2.134435198258404e-06,0.029513909043172196
1-9A-rep1,1.1272091456491394e-06,5.153038015509861e-06,0.0003858277906257615,0.999607891962213
1-9A-rep2,4.6792279821078553e-07,5.514411951694862e-05,1.1483439251521797e-06,0.9999432396137597
1-9B-rep2,7.592491939171624e-07,3.470908637143157e-06,0.002754044548521962,0.997241725293647
1-9C-rep1,1.8421614101829376e-06,8.42144318471728e-06,0.005638745547760474,0.9943509908476444
1-9C-rep2,5.776799407164531e-07,2.6408645696314653e-06,0.006676093459291951,0.9933206879961977
2-10A-rep1,5.032597714078346e-05,0.09253026972747705,2.142773956277637e-06,0.9074172615214259
2-10A-rep2,9.348970693514205e-07,0.0685761900172696,2.2943600404540705e-06,0.9314205807256206
2-10C-rep1,2.1777698512133783e-06,0.15480905358954897,5.344532877181802e-06,0.8451834241077226
2-10C-rep2,0.9999966509785702,1.021078614594865e-06,5.481483480862416e-07,1.7797944672452876e-06
2-11B-rep1,2.855017631569445e-07,0.17926666921527362,7.006587766083261e-07,0.8207323446241866
2-11B-rep2,1.0443951631991188e-06,0.19266644821180226,2.5630827258341165e-06,0.8073299443103087
2-11C-rep2,1.330075302212597e-06,0.33358343482885844,3.2641792601922834e-06,0.666411970916579
2-12A-rep2,1.2890939788373489e-06,0.15260204590248214,3.163605717029585e-06,0.8473935013978219
2-12B-rep2,1.2558105507474459e-06,0.10804823971042321,3.0819238186450095e-06,0.8919474225552073
2-12C-rep2,1.3593633577924707e-06,0.6501306687054098,3.3360559903564695e-06,0.34986463587524197
2-1A-rep1,2.4188398559789713e-06,0.04220698654502281,5.9361502904976445e-06,0.9577846584648307
2-1A-rep2,1.5566351246744985e-06,0.01746392011183303,3.820186782806052e-06,0.9825307030662593
2-1B-rep1,1.7637659433607644e-06,8.063058210342663e-06,0.04296015966569626,0.9570300135101499
2-1B-rep2,9.21334602335947e-07,4.2118822839285045e-06,0.0418531289915207,0.9581417377915931
2-1C-rep1,0.0003174435961807844,6.377345820837647e-06,0.08027976135345363,0.9193964177045446
2-1C-rep2,7.235304828228659e-07,3.307620504817077e-06,0.050570815880029395,0.949425152968983
2-2A-rep1,1.8947478112777158e-06,0.5267151723607659,0.008697239069695443,0.46458569382172726
2-2A-rep2,1.3225034981084516e-06,0.4596217919359667,3.24559705971245e-06,0.5403736399634754
2-2B-rep1,2.253083067422905e-06,0.7933711939646354,5.529361388740932e-06,0.20662102359090836
2-2B-rep2,1.2444804209796193e-06,0.7683698975078546,3.05411819399962e-06,0.23162580389353052
2-2C-rep1,1.750475991071669e-06,0.1911587083865158,4.29589769542791e-06,0.8088352452397977
2-2C-rep2,0.9999173501696859,5.274604633911776e-06,2.831580032683328e-06,7.454364564752932e-05
2-3A-rep1,0.07970409764853088,1.0098928651465707e-05,0.09835029489595645,0.8219355085268613
2-3A-rep2,0.07991899905420476,3.0198913761164786e-06,0.11389273647725348,0.8061852445771657
2-3B-rep1,0.019891912013858024,0.042807767508845664,5.9434785872328895e-06,0.9372943769987091
2-3B-rep2,1.267803902498468e-06,0.05285550680670379,3.111357077033278e-06,0.9471401140323166
2-3C-rep1,0.03572214610261475,8.030967338066666e-06,4.311285553309191e-06,0.9642655116444937
2-3C-rep2,0.025019194650478787,4.296405639233413e-06,2.30645086498911e-06,0.974974202493017
2-4A-rep1,1.6005206410448705e-06,0.004630532670483969,9.457917952548447e-05,0.9952732876293494
2-4A-rep2,6.243367464496312e-07,0.030237001837344044,1.532204271251909e-06,0.9697608416216382
2-4B-rep2,1.0422373579230764e-06,0.23240939103521646,2.557787188643196e-06,0.767587008940237
2-4C-rep2,1.5368524695699497e-06,0.7388468030011519,9.081685165194033e-05,0.26106084329472656
2-5A-rep1,1.2544721408915496e-06,5.734820957019027e-06,0.0030582965762797833,0.9969347141306222
2-5A-rep2,8.421845704775311e-07,3.850047814549397e-06,2.0668314069388696e-06,0.999993240936208
2-5B-rep1,8.554047287932297e-07,3.910483784781543e-06,2.099275409559455e-06,0.9999931348360769
2-5B-rep2,0.9097224669622663,5.174179656824778e-06,2.7776686251677783e-06,0.09026958118945168
2-5C-rep1,9.54249577873089e-07,4.362353135657438e-06,2.3418536348724017e-06,0.9999923415436516
2-5C-rep2,2.317555882128067e-06,1.0594709606261203e-05,5.6875861330518155e-06,0.9999814001483786
2-6A-rep2,1.5882823540209734e-06,0.04543611757179037,0.0005436466461500305,0.9540186474997054
2-6B-rep2,1.106441230362123e-06,0.10459680245217104,2.715351913355353e-06,0.8953993757546851
2-6C-rep2,9.847463371032678e-07,0.06464735668062685,2.4166966823424433e-06,0.9353492418763537
2-7A-rep1,2.0209734959951687e-06,9.238882858073022e-06,0.11870533525789854,0.8812834048857473
2-7A-rep2,1.1666864270427417e-06,5.333508456647972e-06,0.13698570321005096,0.8630077965950652
2-7B-rep1,1.845434726753607e-06,0.005861718220708093,0.3177541131031722,0.6763823232413929
2-7B-rep2,1.0441481047753948e-06,4.77332436353826e-06,0.31811186344751674,0.681882319080015
2-7C-rep2,9.257791269198526e-07,5.666705928138854e-05,0.0501824319007394,0.9497599752608523
2-8A-rep2,0.9692901303910036,4.915475123116013e-06,2.6387875823490073e-06,0.030702315346290966
2-8B-rep2,8.222981207751204e-07,9.690681031993429e-05,0.0012595116188234261,0.9986427592727358
2-8C-rep1,2.0722077456732437e-06,0.01820135841144844,5.085469623399753e-06,0.9817914839111823
2-8C-rep2,9.732385385356561e-07,0.03252695707541115,2.388455035157219e-06,0.9674696812310152
2-9A-rep1,1.3844118417349985e-06,0.1965047614781911,3.3975282556097568e-06,0.8034904565817115
2-9A-rep2,6.138610382528848e-05,0.17938511797168571,1.3182811547950935e-06,0.8205521776433342
2-9B-rep1,1.961693466768199e-06,0.005786564382218793,4.814253086594012e-06,0.9942066596712277
2-9B-rep2,8.314647307705096e-05,0.007091350489802447,1.7855902511277972e-06,0.9928237174468694
2-9C-rep1,1.4635979322338338e-06,6.690839773021256e-06,3.5918613086872983e-06,0.9999882537009859
2-9C-rep2,4.2195052945661074e-07,1.928947371787223e-06,1.035521947357589e-06,0.9999966135801515
3-10A-rep2,0.10834288239143364,0.2592804168870992,0.26816050163714844,0.3642161990843187
3-10B-rep1,2.273976431776764e-06,0.5798450506026925,5.580636445488512e-06,0.4201470947844302
3-10B-rep2,1.5149620175043006e-06,0.5763615888590228,8.952328445716837e-05,0.4235473728945025
3-10C-rep1,1.914471322470809e-06,0.2310795336880045,0.4732064305323892,0.2957121213082838
3-10C-rep2,1.438203733099082e-06,0.23590860997093485,0.43898007229087393,0.32510987953445813
3-11A-rep2,1.8327911970536832e-06,0.8529886681944208,0.07651009282612731,0.07049940618825486
3-11B-rep2,1.6498765773198012e-06,0.9578366725558778,4.049013538260195e-06,0.042157628554006565
3-12A-rep2,1.9696932668187678e-07,0.9257652452622175,4.833885645267428e-07,0.07423407437989132
3-12B-rep2,1.754302440919096e-06,0.5779925969781226,4.305288305276358e-06,0.4220013434311311
3-12C-rep2,4.568798814942473e-07,0.6085785337677739,1.1212431590089459e-06,0.3914198881091856
3-1A-rep1,0.6744257948541367,9.71014768637407e-06,0.21595071559162102,0.10961377940655577
3-1A-rep2,1.1329232055138072e-06,0.00013351359003507067,0.6185105666320697,0.3813547868546897
3-1B-rep1,0.8122471285342289,7.194817067694849e-06,0.08174543107536736,0.10600024557333608
3-1B-rep2,1.0199010542831186e-06,0.00012019407014982635,0.42342578474778136,0.5764530012810145
3-1C-rep1,0.8793815712172705,8.011039937945956e-06,0.09538624256256571,0.025224175180225943
3-1C-rep2,1.4861427180291218e-06,6.793903289408664e-06,0.4621138749799141,0.5378778449740784
3-2A-rep1,0.6186098850574859,0.33547138106639796,5.918312526634618e-06,0.04591281556358956
3-2A-rep2,9.625735110259913e-07,0.8074829730087354,2.362281658696114e-06,0.192513702136095
3-2B-rep2,1.3769619654806921e-06,0.7836421325273575,3.3792452820669405e-06,0.21635311126539494
3-2C-rep2,1.5854299077577604e-06,0.4183694837871774,0.3280307738922687,0.253598156890646
3-3A-rep2,0.5012561594353806,2.992904347013013e-06,1.6066887998102287e-06,0.49873924097147265
3-3B-rep1,0.9664476798502004,0.033530600199412834,5.114281522103982e-06,1.660566886455959e-05
