,15_1,15_2,15_3,15_4,15_5,15_6,15_7,15_8,15_9,15_10,15_11,15_12,15_13,15_14,15_15
1-12B-rep1,5.544079900427876e-06,2.581441756467621e-06,7.303582172859639e-07,0.05275796491961523,0.09810974903492208,2.1704884489798115e-06,1.6508386216309548e-06,1.0750643026621843e-06,5.497229625990513e-06,2.8608297197911094e-06,1.9088276605671214e-06,4.441554855153352e-07,5.153765499219777e-06,3.3089309738082505e-06,0.8490993600352503
1-12B-rep2,2.301803309579146e-06,1.0717686767220633e-06,3.032317340154876e-07,0.04480021943879921,0.15198538477282122,9.011481769733257e-07,6.853988165931631e-07,4.4634756611051565e-07,0.002237254822513921,1.1877655869731136e-06,7.925112742640166e-07,1.844054531840402e-07,2.1397517164179676e-06,1.3738092530183335e-06,0.800965753024302
1-12C-rep1,6.136477991554913e-06,2.857274932820116e-06,8.083987256353763e-07,3.833405486712061e-06,0.13957622433309885,2.4024102894081378e-06,1.8272346450969032e-06,1.1899374740763888e-06,6.084621654137952e-06,3.1665161628946723e-06,2.112790424942718e-06,4.916145529365282e-07,5.7044575705260644e-06,3.662498099059071e-06,0.8603834980288914
1-12C-rep2,2.2681213661308257e-06,1.0560856460266067e-06,2.9879458941918714e-07,0.0060209506471338645,0.15715123951819815,8.879618105235695e-07,6.75369478254842e-07,4.398162289552231e-07,2.2489545953827574e-06,1.170385190844652e-06,7.809145753580632e-07,1.8170707577713558e-07,2.108441049687276e-06,1.3537065077592685e-06,0.8368143395765539
1-1A-rep1,2.222759974815339e-06,1.0349644154930736e-06,0.0013431878079777978,1.3885392068263616e-06,0.5674760615598969,8.702029799063704e-07,6.618623971774678e-07,4.3102010527046044e-07,2.203976530727449e-06,0.4311663595637982,7.652966405483344e-07,1.7807301725972025e-07,2.06627319176367e-06,1.3266329959350133e-06,1.2414668714042178e-06
1-1A-rep2,1.174570915541914e-06,5.46905250604035e-07,1.5473397486297556e-07,7.337444375042684e-07,0.5610127217304152,4.598405236718561e-07,3.497473099316938e-07,2.277635396536938e-07,1.1646451982493052e-06,0.4389795188772158,4.0440496766848884e-07,9.409895323197778e-08,1.0918787552898932e-06,7.010313980271099e-07,6.560271447578816e-07
1-1B-rep1,3.817759778248245e-06,1.777630316433928e-06,0.0009890134649854683,2.3849219863619352e-06,0.8355505584061739,1.4946399850817486e-06,1.136799144895986e-06,7.403099030765094e-07,3.785497780485e-06,0.1628590792310914,1.314455346424287e-06,3.058539880996124e-07,3.5489817937014633e-06,2.278593347803299e-06,0.0005787634543786132
1-1B-rep2,1.2422604975279303e-06,5.784229625697401e-07,1.636511700181759e-07,7.760295423046999e-07,0.8507449270391632,4.863407650925437e-07,3.6990296753972115e-07,2.40889370190457e-07,1.2317627690901808e-06,0.14458292185790875,4.277105023555272e-07,9.952180060995458e-08,1.1548028542497976e-06,7.414312765390298e-07,0.004664638376449976
1-1C-rep1,0.0005012881968070077,1.53519990429035e-06,4.3434869776390646e-07,2.0596700963942416e-06,0.2471562619073689,1.2908033469237452e-06,9.81764274780547e-07,6.393476089157925e-07,3.2692375780079186e-06,0.7523239658581339,1.1351920044166891e-06,2.6414210475398314e-07,3.0649772675730526e-06,1.967842389457962e-06,1.8415124168799506e-06
1-1C-rep2,1.0921943732853816e-06,5.085489769294761e-07,1.4388196954753635e-07,6.82284513831904e-07,0.23823516285742982,4.27590387193682e-07,3.2521837457796576e-07,2.117897294728726e-07,1.0829647793678383e-06,0.761757621942046,3.7604271004139186e-07,8.749948248513645e-08,1.0153016876697148e-06,6.51865747985373e-07,6.10017791813324e-07
1-2A-rep1,0.7775606276793483,7.679680844388613e-07,2.172785032542409e-07,1.0303289454900424e-06,0.2170555091326712,6.457112008370847e-07,4.911175589359133e-07,3.198271164149093e-07,1.6354027337689595e-06,0.005339028884767739,5.678682148597343e-07,1.3213439216655932e-07,3.712107559766052e-05,9.843930722547804e-07,9.211977927496037e-07
1-2A-rep2,0.9158256267515055,1.0745438310733335e-06,3.0401689865443747e-07,1.4416401342532067e-06,0.07594412644574126,9.034815398890205e-07,6.871735349158157e-07,4.475033037404479e-07,2.288261653706525e-06,0.00791854119554802,7.945633412435546e-07,1.848829383045858e-07,2.1452922228867854e-06,1.3773664877175125e-06,0.00030005688131893806
1-2B-rep1,0.7899619847495187,2.8302929094033747e-06,8.00764796854281e-07,3.7972055972928643e-06,0.0573345762079354,2.3797236763906594e-06,1.8099795719446585e-06,1.1787005712424366e-06,0.057583753018897725,3.1366138905318282e-06,2.092838770985426e-06,4.869721031579022e-07,5.650588827977084e-06,0.09509212733260075,3.3950103315586542e-06
1-2B-rep2,0.6295113853232233,1.2561941270886495e-06,3.554105766387728e-07,1.6853476030058547e-06,0.24589760255757145,1.0562139686828104e-06,8.033393649375323e-07,5.231531797544275e-07,0.043312686505363365,1.3921512982419036e-06,9.288832842426597e-07,2.1613716870453442e-07,2.5079512006387547e-06,0.0811496692325057,0.00011793159956440579
1-2C-rep2,0.38746228014802486,1.1827964079457912e-06,3.346444186684346e-07,1.5868750283010186e-06,0.4568038031577185,9.945008189741637e-07,7.564013353666249e-07,4.925860489835644e-07,2.5187875879764476e-06,1.3108097859793535e-06,8.746098937346596e-07,2.0350856707138213e-07,0.09416784919799619,0.0615543931811567,1.4187952108295797e-06
1-3A-rep1,0.9999478687754421,2.617132158497943e-06,7.404559769335627e-07,3.5112227600493934e-06,1.7720176967272196e-05,2.2004971079596914e-06,1.6736627252333599e-06,1.0899278869651533e-06,5.573233020184101e-06,2.9003828735989855e-06,1.9352186594891587e-06,4.5029627401164695e-07,5.225020239783382e-06,3.354679469372761e-06,3.139318438609209e-06
1-3A-rep2,0.9999610415825912,1.955820679624691e-06,5.533534511568318e-07,2.6239875057799404e-06,1.3242544304331641e-05,1.6444632859778733e-06,1.2507523390057323e-06,8.145188593951417e-07,4.164957569242221e-06,2.167498031994643e-06,1.4462168681602885e-06,3.365129123534163e-07,3.904733126771494e-06,2.507000442605577e-06,2.3460580323474763e-06
1-3B-rep2,0.07730041066304164,1.6007966333859753e-06,0.6309128834946423,2.147676629590312e-06,0.167141433221163,1.3459573872720107e-06,1.0237135512158604e-06,6.666659482296368e-07,3.408927068057069e-06,1.7740499364970247e-06,1.1836970115998826e-06,2.754284903509811e-07,3.1959390289328385e-06,2.0519252660679826e-06,0.12462659784420191
1-3C-rep1,0.9202569959421032,0.0003335269541795768,6.739255117692278e-07,0.07914684430730952,1.6128007205459698e-05,2.002780969869192e-06,1.5232830090764131e-06,9.919971367594885e-07,5.072474302781854e-06,2.6397815309853054e-06,1.761337967562397e-06,4.098368523781989e-07,4.755548673782311e-06,0.00011343491697265163,0.00011323890627465778
1-3C-rep2,4.219575216853998e-06,1.9647241480957316e-06,5.558724781090685e-07,2.6359326653078574e-06,1.3302828243916838e-05,1.6519493644159524e-06,1.256446129919915e-06,8.182267877646711e-07,4.183917675752643e-06,2.177365117760711e-06,1.4528004708505019e-06,0.046888954269754736,3.922508615416347e-06,2.51841304276374e-06,0.9530703851702883
1-3C-rep3,0.8939847391244389,1.1540163308955695e-06,3.2650177291046273e-07,0.05615285374313558,0.04984878195023505,9.703023939499504e-07,7.379964023058715e-07,4.806003307751093e-07,2.45749986308303e-06,1.2789148576677353e-06,8.533286825630043e-07,1.9855674932713766e-07,2.3039565145348186e-06,1.479235536503493e-06,1.384272756067414e-06
1-4A-rep1,0.11931825334523093,1.732670292340782e-06,4.902182986262686e-07,0.018549873004303354,0.01928191178721227,1.456837383990504e-06,1.1080470942186984e-06,7.215859024949456e-07,3.6897545486995616e-06,0.007388822590088011,1.2812099952968627e-06,0.0013652692128166082,3.4592205506151908e-06,0.043601003570279365,0.7904809269460032
1-4A-rep3,0.13105723249461068,1.213253298280899e-06,3.4326147929879424e-07,1.6277369030816703e-06,0.0549375885773379,1.0201091165460813e-06,7.758785948221224e-07,5.05270090948616e-07,2.583646118852157e-06,1.3445630081176381e-06,8.971310118582259e-07,2.0874889251362184e-07,2.4222212160428143e-06,0.0427306484268943,0.7712615886814268
1-4B-rep3,0.011941661372461613,0.022410467274911628,1.49695742192875e-07,7.098532707465331e-07,0.5023147459322175,4.4486783553758367e-07,3.3835932403694716e-07,2.203474197772596e-07,1.1267236397028284e-06,5.863616209905481e-07,3.91237295075171e-07,9.103503387738583e-08,1.056326516542315e-06,0.009734535378648454,0.45359347523406224
1-4C-rep1,4.623244451565832e-06,2.1526811467324283e-06,6.090504892366807e-07,2.888101394877293e-06,1.4575454567835901e-05,1.8099844986287436e-06,1.3766451124372984e-06,8.965031459910674e-07,4.584175701613265e-06,2.3856645947469327e-06,1.5917838575939799e-06,3.703841612893825e-07,4.297758722254408e-06,2.7593391581699008e-06,0.9999550792289971
1-4C-rep2,1.0273572901630021e-06,4.783594492268261e-07,0.9966644831944512,6.41781340753505e-07,3.2388941715236965e-06,4.022068893887879e-07,3.059120942113968e-07,1.9921703304614335e-07,1.0186756023349377e-06,5.301320185366637e-07,3.537192912023279e-07,0.003325178548082221,9.550292659031429e-07,6.131683560920016e-07,5.738046641490999e-07
1-4C-rep3,2.0433239681212465e-06,9.514151866556275e-07,2.691805452839054e-07,1.276447063169778e-06,9.461955999273962e-05,7.999543927908538e-07,6.084324511301576e-07,3.9622528829926495e-07,2.0260568488895177e-06,1.0543863075839903e-06,7.035167926689853e-07,1.636977759025391e-07,1.8994698416628873e-06,1.2195383344167468e-06,0.9998919687952107
1-5A-rep1,4.816891193160184e-06,2.242847196597073e-06,6.345608519143851e-07,3.0090708634769194e-06,0.06829992593216636,1.8857965401869255e-06,1.434306532495886e-06,9.340535967338261e-07,4.7761860304663616e-06,0.028792246584518552,1.658456463936732e-06,3.858978739479364e-07,4.477772342871288e-06,0.011539566144505768,0.8913420054993235
1-5A-rep2,1.337941823336607e-06,6.229742270162785e-07,1.7625590223709453e-07,8.358008508363428e-07,4.218057354472242e-06,5.237996791379165e-07,3.9839361537501435e-07,2.5944313919374275e-07,1.3266355393850163e-06,6.903983709285047e-07,4.60653599241494e-07,0.9999863600862473,1.2437480218391584e-06,7.985377591780939e-07,7.472738704846187e-07
1-5A-rep3,2.2073039071709553e-06,1.0277677409998144e-06,2.90782704362775e-07,1.3788839331347565e-06,0.061826856059244074,8.641519819245058e-07,6.572601053880007e-07,4.2802298638284727e-07,2.1886510746586317e-06,0.021195171559289943,7.599751138075457e-07,1.7683477802939831e-07,2.0519052624390795e-06,0.021862128517374672,0.895103812324503
1-5B-rep1,0.11423190994940816,2.659055413836231e-06,7.523171757984927e-07,3.567468252979962e-06,1.8004032523143313e-05,2.235746379506263e-06,1.7004727545061665e-06,1.1073871982793308e-06,5.662509394786084e-06,2.9468434588597907e-06,1.9662184948370793e-06,4.575094694217346e-07,5.308718671652365e-06,0.07418266613798305,0.8115390556334212
