,3_1,3_2,3_3
1-3C-rep3,0.9990304933509719,0.0009685604893868505,9.461596411506882e-07
1-4A-rep1,0.9950917228622067,0.004906856541674835,1.4205961184551427e-06
1-4A-rep3,0.9891979081568211,0.010801097115567126,9.947276117576603e-07
1-4B-rep3,0.9914888645886681,0.008510701614960859,4.3379637116971327e-07
1-4C-rep1,0.999987123186372,1.1111848941479922e-05,1.7649646866067463e-06
1-4C-rep2,3.4496056552429734e-06,2.469190093953629e-06,0.9999940812042508
1-4C-rep3,0.9999943089270504,4.911024167608779e-06,7.800487818499244e-07
1-5A-rep1,0.9999865838243163,1.1577283159928735e-05,1.8388925238034925e-06
1-5A-rep2,4.492475643399655e-06,3.215665054105746e-06,0.9999922918593025
1-5A-rep3,0.9999938522053943,5.305145120046028e-06,8.426494855642171e-07
1-5B-rep1,0.9999840941075245,1.3725746102371473e-05,2.180146373083199e-06
1-5B-rep2,3.685672162430157e-05,3.5525714707191006e-06,0.999959590706905
1-5B-rep3,0.9999922563656362,6.682250577881671e-06,1.0613837858245674e-06
1-5C-rep1,0.9999869526805554,1.1258984322287972e-05,1.7883351223140966e-06
1-5C-rep2,0.10107348254833828,3.555860333809968e-06,0.8989229615913279
1-5C-rep3,0.9999402168894563,5.884631917449258e-05,9.367913691091579e-07
1-6A-rep1,0.9999273495809509,7.167254153764369e-06,6.548316489536242e-05
1-6A-rep2,9.449779665809782e-05,4.88303656628471e-06,0.9999006191667756
1-6A-rep3,0.15070965988789495,6.051318221722789e-06,0.8492842887938833
1-6B-rep1,0.9960004620073579,0.003997523654144725,2.014338497389623e-06
1-6B-rep2,0.999994654879123,4.612490129499207e-06,7.326307474806297e-07
1-6C-rep2,0.9999949360767314,4.369834963533597e-06,6.940883049755606e-07
1-7A-rep1,0.9977096806590772,1.5817073874755117e-05,0.0022745022670480936
1-7A-rep2,0.9976208746020213,4.481835646972763e-06,0.002374643562331609
1-7B-rep2,0.9878718027253512,0.011571203450126358,0.0005569938245223333
1-7C-rep1,0.9999874279471538,1.0848860296237467e-05,1.7231925500094986e-06
1-7C-rep2,0.9999942593190374,4.953832642121011e-06,7.868483204505213e-07
1-8A-rep1,0.9991599166421917,1.4150429315251452e-06,0.0008386683148767738
1-8A-rep2,0.9999973241550615,2.309079373771887e-06,3.6676556482566934e-07
1-8B-rep1,0.9999196743044028,7.906700534725428e-05,1.2586902499540088e-06
1-8B-rep2,0.9996445437502751,2.1839872068692453e-06,0.0003532722625181244
1-8C-rep1,0.9931230708436971,0.0004104579790433699,0.00646647117725958
1-8C-rep2,0.1732072071217997,5.474742615132843e-05,0.826738045452049
1-9A-rep1,0.9996086976030656,0.00013479856735958186,0.00025650382957484723
1-9A-rep2,0.9994930314716055,2.952069777747014e-06,0.0005040164586168426
1-9B-rep2,0.9972852710084015,4.790013485719078e-06,0.002709938978112682
1-9C-rep1,0.9940392963427153,1.1621977103239075e-05,0.005949081680181488
1-9C-rep2,0.9932883823555126,3.6445145999082117e-06,0.0067079731298874115
2-10A-rep1,0.9225010129510129,0.0774981121041571,8.749448298560426e-07
2-10A-rep2,0.9544550641069788,0.045543999052047666,9.368409734113509e-07
2-10C-rep1,0.9306637053149747,0.069334112387356,2.1822976693107935e-06
2-10C-rep2,0.1412338913213564,1.4091355285170176e-06,0.8587646995431151
2-11B-rep1,0.9681906821553857,0.031809031749191474,2.8609542290991314e-07
2-11B-rep2,0.9699425895538858,0.030056363879385654,1.0465667284401853e-06
2-11C-rep2,0.8631090772628953,0.13688958989628483,1.3328408198666258e-06
2-12A-rep2,0.8915670115142734,0.10843169671143228,1.2917742942775816e-06
2-12B-rep2,0.971397614493721,0.028601127084611117,1.2584216679577518e-06
2-12C-rep2,0.4603499042124556,0.539648733597778,1.3621897665039162e-06
2-1A-rep1,0.9632663895194529,0.03673118661173902,2.4238688081280787e-06
2-1A-rep2,0.9813856655439223,0.01861277458441418,1.5598716635436498e-06
2-1B-rep1,0.9676203933597107,0.03237783920719076,1.7674330984811787e-06
2-1B-rep2,0.9776067053414265,0.022392371408265496,9.232503079943056e-07
2-1C-rep1,0.9466566139266418,0.05310495176338909,0.00023843430996907784
2-1C-rep2,0.9817587129085199,0.018240562056561403,7.250349185894327e-07
2-2A-rep1,0.6128977383561252,0.3871003629566085,1.8986872663801519e-06
2-2A-rep2,0.7044910149567303,0.2955076597899961,1.3252532736375395e-06
2-2B-rep1,0.4864748747078797,0.5135228675246727,2.2577674475604906e-06
2-2B-rep2,0.5091288270035206,0.4908699259284973,1.2470679821088463e-06
2-2C-rep1,0.9230510436536139,0.0769472022308688,1.7541155172785903e-06
2-2C-rep2,0.1859301190953999,7.279196505947033e-06,0.8140626017080942
2-3A-rep1,0.8523414610980442,0.14765632520347416,2.213698481654891e-06
2-3A-rep2,0.8258659967291707,0.17409592635729176,3.807691353747363e-05
2-3B-rep1,0.9666502625135851,0.03334731062529304,2.426861121896314e-06
2-3B-rep2,0.9762945331056471,0.023704196454398356,1.2704399546350717e-06
2-3C-rep1,0.9906341876191823,0.009364051982079494,1.760398738155005e-06
2-3C-rep2,0.986525857298097,0.013473200923963025,9.41777939813366e-07
2-4A-rep1,0.9998976473840707,1.0097494567403719e-05,9.225512136192931e-05
2-4A-rep2,0.9944790300561448,0.005520344308918226,6.256349369601038e-07
2-4B-rep2,0.8316953267407229,0.16830362885484018,1.0444044368287628e-06
2-4C-rep2,0.3536781794072244,0.6463202805448951,1.5400478805434713e-06
2-5A-rep1,0.585475979316086,0.0007184299987524626,0.41380559068516154
2-5A-rep2,0.5860040441974868,5.313242922870937e-06,0.4139906425595903
2-5B-rep1,0.796459731901918,5.396647329945872e-06,0.20353487145075197
2-5B-rep2,0.0814880708208498,7.140605448455556e-06,0.9185047885737018
2-5C-rep1,0.468815379192311,6.020247722026218e-06,0.5311786005599669
2-5C-rep2,0.4880567954637529,1.4621183341094664e-05,0.511928583352906
2-6A-rep2,0.9866745873388861,0.013323821076426969,1.5915846868756596e-06
2-6B-rep2,0.9570648080888666,0.04293408316933713,1.1087417962791724e-06
2-6C-rep2,0.9623448959478459,0.037654117258269136,9.867938848474485e-07
2-7A-rep1,0.9174558630061163,0.08185532101349652,0.0006888159803872893
2-7A-rep2,0.9002774935473128,0.09727639556204458,0.0024461108906425905
2-7B-rep1,0.7703497752567805,0.22964837547155478,1.8492716647437264e-06
2-7B-rep2,0.7876238323975142,0.2123751212833293,1.0463191563524962e-06
2-7C-rep2,0.9734087614493072,0.026590310846619225,9.277040734162485e-07
2-8A-rep2,0.14732726385593464,6.783581366269139e-06,0.852665952562699
2-8B-rep2,0.9982707564372705,0.001728419554816125,8.240079132833029e-07
2-8C-rep1,0.9999848501722197,1.307331166277755e-05,2.076516117463834e-06
2-8C-rep2,0.9999928846910262,6.140046813653517e-06,9.75262159995438e-07
2-9A-rep1,0.8336013716257044,0.16639724108396853,1.3872903270837337e-06
2-9A-rep2,0.8443749307880845,0.15562453092679784,5.382851177596829e-07
2-9B-rep1,0.9999856581374763,1.2376090429294478e-05,1.9657720943646385e-06
2-9B-rep2,0.9999946806506471,4.590250987748003e-06,7.290983650609232e-07
2-9C-rep1,0.9999892996933223,9.233665630649704e-06,1.4666410470353842e-06
2-9C-rep2,0.9999969151359238,2.6620361691476543e-06,4.2282790719703216e-07
3-10A-rep2,0.3773832627113232,0.5258535595980676,0.09676317769060933
3-10B-rep1,0.5055398880034869,0.4912379616652402,0.0032221503312728664
3-10B-rep2,0.5080668415173346,0.4919316403707471,1.5181119183787342e-06
3-10C-rep1,0.3124123480034837,0.6875857335447356,1.9184517806584863e-06
3-10C-rep2,0.3369224254922512,0.6630761333136959,1.4411940530360379e-06
3-11A-rep2,0.12634897176072174,0.8736491916374282,1.8366018502710741e-06
3-11B-rep2,0.06010078549950113,0.9398975611935364,1.6533069626356224e-06
3-12A-rep2,0.14330148062343462,0.8566983219976672,1.973788982841833e-07
3-12B-rep2,0.5146074233862337,0.48539081866384437,1.7579499220616422e-06
3-12C-rep2,0.5131976376752097,0.48680190449490335,4.5782988706881156e-07
3-1A-rep1,0.18492576616146109,0.1752961359546775,0.6397780978838615
3-1A-rep2,0.44379037925810194,0.5562084854630681,1.1352788300958124e-06
3-1B-rep1,0.12998026485584094,0.1060867521624557,0.7639329829817034
3-1B-rep2,0.6588278002340748,0.3411711777442318,1.0220216932689579e-06
3-1C-rep1,0.09271754042067072,0.10819658412859759,0.7990858754507317
3-1C-rep2,0.5824065493899033,0.41759196137739313,1.4892327035868058e-06
3-2A-rep1,0.15559504421558204,0.3272801820318324,0.5171247737525856
3-2A-rep2,0.29980755979900614,0.7001914756260355,9.645749584064634e-07
3-2B-rep2,0.33021849976059453,0.6697801204144432,1.3798249623042994e-06
3-2C-rep2,0.31816316774847914,0.6818352435252105,1.5887263104418997e-06
3-3A-rep2,0.6865900380460757,0.31340930590521016,6.560487141643427e-07
3-3B-rep1,0.06942113457918389,0.3289680986910122,0.6016107667298041
3-3B-rep2,0.3271975485369926,0.6728011581778975,1.2932851099635293e-06
3-3C-rep1,0.09084690711942127,0.36344763911733485,0.5457054537632439
3-3C-rep2,0.17572473729032473,0.8242745053665441,7.573431310889316e-07
3-4A-rep1,0.036397318263921105,0.12166339371283583,0.8419392880232431
3-4A-rep2,0.4085918970618788,0.591406736434726,1.3665033953252281e-06
3-4A2-rep1,0.367167494137762,0.6328313577647924,1.148097445736007e-06
3-4B-rep1,0.4049365806742068,0.5950612808150147,2.1385107785686618e-06
3-4B-rep2,0.44907462036563706,0.5509232866599593,2.0929744037817713e-06
3-4B2-rep1,0.3289905331675457,0.6710078414722557,1.6253601987619027e-06
3-4C-rep2,0.2266528687923471,0.2815012462629961,0.49184588494465686
3-4C2-rep1,0.39042991533545796,0.6095688447629721,1.2399015700072988e-06
3-5A-rep1,0.3462171258094003,0.20086379967867826,0.45291907451192154
3-5A-rep2,0.36158782242900106,0.18781136508055277,0.4506008124904461
