,8_1,8_2,8_3,8_4,8_5,8_6,8_7,8_8
1-12C-rep2,1.2863736371695293e-06,3.8516889802398424e-07,0.21323698489032342,1.4682093090034747e-06,3.1058939593525203e-06,0.7867522077558373,2.269383281629556e-06,2.2923247541248847e-06
1-1A-rep1,1.2606467446250868e-06,3.7746569378798326e-07,0.9999856773104061,1.4388457850365228e-06,3.043777481030939e-06,3.731477956802313e-06,2.2239966395672207e-06,2.2464792929600393e-06
1-1A-rep2,6.661622566447494e-07,1.994638065357163e-07,0.9999924314759375,7.603277914375394e-07,1.6084201891871454e-06,1.971821041002909e-06,1.1752242462062964e-06,1.1871047315074946e-06
1-1B-rep1,2.1652573741448494e-06,6.483262503519163e-07,0.9999753996832239,2.4713278795909626e-06,5.227921036688427e-06,6.409099295162197e-06,3.819884630193063e-06,3.858500310007174e-06
1-1B-rep2,7.045526605924349e-07,2.1095874793995848e-07,0.9999919953078822,8.041448806748612e-07,1.7011121725059122e-06,2.0854555279789794e-06,1.242951489968523e-06,1.255516638240729e-06
1-1C-rep1,1.8699628711147151e-06,5.599085037204472e-07,0.9999787546369598,2.1342919471690514e-06,4.5149451277531695e-06,5.535036094253733e-06,3.298934581956512e-06,3.3322839141686973e-06
1-1C-rep2,6.194420882076365e-07,1.8547474824623417e-07,0.9999929622816316,7.070034817381333e-07,1.4956163468695673e-06,1.8335306917004765e-06,1.0928018720977948e-06,1.1038491395622723e-06
1-2A-rep1,9.354296433006625e-07,2.8008845523441157e-07,0.32090183589206345,0.0001434190958219173,2.2585547422439283e-06,0.6789479537406019,1.6502580061561506e-06,1.6669406656984565e-06
1-2A-rep2,1.3088567850010695e-06,3.919008528963177e-07,0.24798600601452447,1.4938705679006968e-06,3.1601785552269054e-06,0.752002997741467,2.3090474027938944e-06,2.3323898447297357e-06
1-2B-rep1,3.4474627955999173e-06,1.0322470918182445e-06,0.296830011233326,3.934779773690186e-06,0.10703215322170093,0.4997170552276925,6.081914465838265e-06,0.09640628391315371
1-2B-rep2,1.530117470979934e-06,4.5815122691830856e-07,0.37705171057558073,1.746407614279743e-06,0.1088608846354011,0.4428262649847857,2.6993891255511904e-06,0.07125470573879475
1-2C-rep2,1.4407147530647557e-06,4.3138206332171334e-07,0.6463422308738765,1.6443673524922746e-06,0.24232347732250034,0.11132566631057152,2.541667428288041e-06,2.567361454444994e-06
1-3A-rep1,3.187820308213076e-06,9.545043521838687e-07,0.0001420876280186321,3.63843545662771e-06,7.696855371325867e-06,0.999831130182848,5.623860675671266e-06,5.680712969443268e-06
1-3A-rep2,2.3823037439025773e-06,7.133147642984852e-07,0.050135774925719766,2.7190548940102656e-06,5.751970184814027e-06,0.9498442103610047,4.20279157778131e-06,4.245278110649409e-06
1-3B-rep2,1.9498635419855342e-06,0.6783152015544064,0.2008959284275186,2.2254869976415443e-06,4.707861869697553e-06,0.12077307224528364,3.4398930417895367e-06,3.474667340271378e-06
1-3C-rep1,2.9013923306872124e-06,8.687414406322725e-07,0.05090491699900707,0.0005552201720742297,7.0052873078318095e-06,0.9485187985583736,5.118552696087341e-06,5.170296769838011e-06
1-3C-rep2,0.9519783894563628,0.0479819091838412,1.5621593292226134e-05,2.73143283486595e-06,5.778154851739335e-06,7.0836510206892166e-06,4.221923926191467e-06,4.264603870304099e-06
1-3C-rep3,1.4056589356999638e-06,4.2088557135889843e-07,0.11594828914819928,0.00406589062367039,3.393903195114255e-06,0.879975615065663,2.4798229660316727e-06,2.5048917989736555e-06
1-4A-rep1,2.1104934170170297e-06,6.319287026963473e-07,0.08970044972593748,2.4088227494097733e-06,0.0084358035617296,0.9018511112851846,3.7232716359970604e-06,3.7609106432645013e-06
1-4A-rep3,0.008491076827459984,4.4249011245248063e-07,0.14360193723414208,1.6867096631573608e-06,3.5681161547311602e-06,0.847896048036553,2.6071151347830583e-06,2.633470779790645e-06
1-4B-rep3,6.444716037681273e-07,1.9296914229159183e-07,0.7234481158216837,7.355710508206431e-07,0.03234150439523752,0.2441329657546396,7.469256477114563e-05,1.1484518711833228e-06
